nasukati;nasukah;nasukaš;nasuka;nasukasmo;nasukajte;nasukaju
nervirati;nervirah;nerviraše;nervira;nervirasmo;nervirajte;nervirahu
puckati;puckam;puckaše;puckaše;puckasmo;puckate;puckaju
podati;podam;podaš;poda;podasmo;podate;podaše
vzšljati;vršljam;vršljaše;vršljaše;vršljasmo;vršljate;vršljaju
destilirati;destiliram;destiliraše;destiliraše;destilirasmo;destilirate;destiliraše
delegirati;delegiram;delegiraše;delegiraše;delegirasmo;delegirate;delegiraše
isisati;isisam;isisaš;isisa;isisasmo;isisate;isišu
snebivati;snebivam;snebivaše;snebivaše;snebivasmo;snebivate;snebivaju
gutati;gutam;gutaše;gutaše;gutasmo;gutate;gutaju
koračati;koračim;korači;korači;koračamo;koračajte;koračahu
prokukati;prokukam;prokukaš;prokuka;prokukasmo;prokukate;prokukaše
razdragati;razdragah;razdragaš;neka razdraga;razdragasmo;razdragajte;neka razdragaju
huškati;huškam;huškaše;huškaše;huškasmo;huškate;huškaju
otančati;otančah;otančaš;otanča;otančasmo;otančajte;otančaše
opsjedati;opsjedam;opsjedaše;opsjedaše;opsjedasmo;opsjedate;opsjedaju
romansirati;romansiram;romansiraše;romansiraše;romansirasmo;romansirate;romansiraše
opipati;opipah;opipaš;opipa;opipasmo;opipate;opipaju
broširati;broširam;broširaš;broširaše;broširasmo;broširate;broširaju
natjerati;natjeram;natjeraš;natjera;natjerasmo;natjerate;natjeraše
zabadati;zabadam;zabadaše;zabadaše;zabadasmo;zabadate;zabadaju
komercijalizirati;komercijaliziram;komercijaliziraše;komercijaliziraše;komercijalizirasmo;komercijalizirate;komercijaliziraše
švercati;švercam;švercaše;švercaše;švercasmo;švercate;švercaju
fabricirati;fabriciram;fabriciraše;fabriciraše;fabricirasmo;fabricirate;fabriciraše
protresati;protresah;protresaše;neka protresa;protresasmo;protresajte;neka protresaju
dežurati;dežuram;dežuraše;dežuraše;dežurasmo;dežurate;dežurahu
objedinjavati;objedinjavah;objedinjavaše;neka objedinjava;objedinjavasmo;objedinjavajte;neka objedinjavaju
okolišati;okolišah;okolišaj;okoliša;okolišajmo;okolišajte;okolišahu
abecedirati;abecedirah;abecediraše;neka abecedira;abecedirasmo;abecedirajte;neka abecediraju
isprljati;isprljah;isprljaj;isprlja;isprljajmo;isprljajte;isprljaše
stapati;stapah;stapaj;neka stapa;stapajmo;stapajte;neka stapaju
rastrljati;rastrljam;rastrljaš;rastrlja;rastrljasmo;rastrljate;rastrljaše
proslavljati;proslavljam;-;proslavlja;-;-;-
isplanirati;isplaniram;isplaniraš;isplanira;isplanirasmo;isplanirate;isplaniraše
izgarati;izgaram;izgaraše;izgaraše;izgarasmo;izgarate;izgaraju
cvjetati;cvjetam;cvjetaše;cvjetaše;cvjetasmo;cvjetate;cvjetahu
izolirati;izolirah;izoliraš;izoliraše;izolirasmo;izolirajte;izolirahu
razmrskati;razmrskam;razmrskaš;razmrska;razmrskasmo;razmrskate;razmrskaše
dominirati;dominiram;dominiraše;dominiraše;dominirasmo;dominirate;dominiraše
usipati;usipam;usipaše;usipaše;usipasmo;usipate;usipaju
ridati;ridam;ridaše;rida;ridasmo;ridate;ridaju
smrzavati;smrzavah;smrzavaše;neka smrzava;smrzavasmo;smrzavajte;neka smrzavaju
kolutati;kolutam;kolutaše;kolutaše;kolutasmo;kolutate;kolutaju
pribrojavati;pribrojavah;pribrojavaše;pribrojava;pribrojavasmo;pribrojavaste;pribrojavahu
bazati;bazam;bazaše;bazaše;bazasmo;bazate;bazaju
meditirati;meditiram;meditiraše;meditiraše;meditirasmo;meditirate;meditiraše
asistirati;asistiram;asistiraše;asistiraše;asistirasmo;asistirate;asistiraju
okorištavati;okorištavah;okorištavaše;neka okorištava;okorištavasmo;okorištavajte;neka okorištavaju
intervenirati;interveniram;interveniraše;interveniraše;intervenirasmo;intervenirate;interveniraše
zaračunati;zaračunah;zaračuna;zaračuna;zaračunasmo;zaračunajte;zaračunaju
rascvjetati;rascvjetam;rascvjetaš;rascvjeta;rascvjetasmo;rascvjetate;rascvjetaše
premotati;premotam;premotaš;premota;premotasmo;premotate;premotaše
prikradati;prikradam;prikradaše;prikradaše;prikradasmo;prikradate;prikradaju
pokrivati;pokrivah;pokrivaš;pokriva;pokrivajmo;pokrivajte;pokrivaju
spekulirati;špekuliram;špekuliraše;spekuliraše;špekulirasmo;špekulirate;špekuliraju
tiranizirati;tiraniziram;tiraniziraše;tiraniziraše;tiranizirasmo;tiranizirate;tiraniziraju
zaklimati;zaklimah;zaklimaš;zaklima;zaklimasmo;zaklimajte;zaklimaju
polarizirati;polarizirah;polarizira;polarizira;polarizirasmo;polarizirajte;polariziraju
izgužvati;izgužvam;izgužvaš;izgužva;izgužvasmo;izgužvate;izgužvaše
ozdravljati;ozdravljah;ozdravljaš;neka ozdravlja;ozdravljasmo;ozdravljajte;neka ozdravljaju
reciklirati;recikliram;recikliraše;recikliraše;reciklirasmo;reciklirate;recikliraše
nasmijavati;nasmijavah;nasmijavaše;nasmijava;nasmijavasmo;nasmijavajte;nasmijavahu
opozivati;opozivam;opozivaše;opozivaše;opozivasmo;opozivate;opozivaju
bacati;bacam;bacaše;bacaše;bacasmo;bacate;bacahu
laskati;laskam;laskaše;laskaše;laskasmo;laskate;laskahu
opkoljavati;opkoljavam;opkoljavaše;opkoljavaše;opkoljavasmo;opkoljavate;opkoljavaju
zijevati;zijevam;zijevaše;zijevaše;zijevasmo;zijevate;zijevahu
drombuljati;drombuljam;drombuljaše;drombuljaše;drombuljasmo;drombuljate;drombuljaju
vrdati;vrdam;vrdaše;vrdaše;vrdasmo;vrdate;vrdaju
konzumirati;konzumiram;konzumiraše;konzumiraše;konzumirasmo;konzumirate;konzumiraše
nacionalizirati;nacionaliziram;nacionaliziraš;nacionaliziraše;nacionalizirasmo;nacionalizirate;nacionaliziraju
vrludati;vrludam;vrludaše;vrludaše;vrludasmo;vrludate;vrludaju
poslušati;poslušam;poslušaš;posluša;poslušasmo;poslušajte;poslušat
otpremati;otpremam;otpremaše;otpremaše;otpremasmo;otpremate;otpremaju
draškati;draškam;draškaše;draškaše;draškasmo;draškate;draškaju
piskarati;piskaram;piskaraš;piskaraše;piskarasmo;piskarate;piskaraju
došuljati;došuljam;došuljaš;došulja;došuljasmo;došuljate;došuljaše
debljati;debljah;debljaše;-;debljasmo;debljajte;debljaju
špricati;špricah;špricaše;neka šprica;špricasmo;špricajte;špricahu
izbatinati;izbatinam;izbatinaš;izbatina;izbatinasmo;izbatinate;izbatinaše
zauzdati;zauzdah;zauzdaš;zauzda;zauzdasmo;zauzdajte;zauzdaše
parkirati;parkiram;parkiraše;parkiraše;parkirasmo;parkirate;parkiraše
apsolvirati;apsolviram;apsolviraše;apsolviraše;apsolvirasmo;apsolvirate;apsolviraše
stornirati;storniram;storniraše;storniraše;stornirasmo;stornirate;storniraše
izbrazdati;izbrazdah;izbrazdaj;izbrazda;izbrazdajmo;izbrazdajte;izbrazdaše
punktirati;punktiram;punktiraše;punktiraše;punktirasmo;punktirate;punktiraše
iščitati;iščitah;iščitaš;iščita;iščitasmo;iščitajte;iščitaše
navikavati;navikavah;navikavaše;navikava;navikavasmo;navikavajte;navikavahu
zapištati;zapištam;zapišti;zapišti;zapištasmo;zapištite;zapište
obrušavati;obrušavah;obrušavaše;obrušava;obrušavasmo;obrušavajte;obrušavahu
vegetirati;vegetiram;vegetiraše;vegetiraše;vegetirasmo;vegetirate;vegetiraše
utrljavati;utrljavah;utrljavaše;neka utrljava;utrljavasmo;utrljavajte;neka utrljavaju
kasati;kasam;kasaše;kasaše;kasasmo;kasate;kasaju
stilizirati;stiliziram;stiliziraše;stiliziraše;stilizirasmo;stilizirate;stiliziraše
ševzdati;ševrdam;ševrdaše;ševrdaše;ševrdasmo;ševrdate;ševrdaju
isfućkati;isfućkah;isfućkaš;isfućka;isfućkasmo;isfućkajte;isfućkaše
nabajati;nabajam;nabajaš;nabaja;nabajasmo;nabajate;nabajaše
savijati;savijah;savijaš;savija;savijasmo;savijajte;savijaše
ljuljuškati;ljuljuškah;ljuljuškaše;ljuljuška;ljuljuškasmo;ljuljuškajte;ljuljuškahu
ispumpavati;ispumpavah;ispumpavaše;ispumpava;ispumpavasmo;ispumpavajte;ispumpavahu
obuzdati;obuzdah;obuzdaš;obuzda;obuzdasmo;obuzdajte;obuzdaše
smucati;smucam;smucaše;smucaše;smucasmo;smucate;smucaju
sazivati;sazivah;sazivaše;neka saziva;sazivasmo;sazivajte;neka sazivaju
šantati;šantam;šantaše;šantaše;šantasmo;šantate;šantaju
upitati;upitam;upitaš;upita;upitasmo;upitate;upitat
demobilizirati;demobiliziram;demobiliziraše;demobiliziraše;demobilizirasmo;demobilizirate;demobiliziraše
ispremiješati;ispremiješah;ispremiješaj;ispremiješa;ispremiješajmo;ispremiješajte;ispremiješaše
odmjeravati;odmjeravah;odmjeravaše;odmjerava;odmjeravasmo;odmjeravajte;odmjeravahu
rafinirati;rafiniram;rafiniraš;rafiniraše;rafinirasmo;rafinirate;rafiniraju
ubijati;ubijam;ubijaše;ubijaše;-;ubijajte;ubijahu
šuškati;šuškam;šuškaše;šuškaše;šuškasmo;šuškate;šuškahu
sagibati;sagibam;sagibaše;sagibaše;sagibasmo;sagibate;sagibaju
zaposjedati;zaposjedah;zaposjedaše;zaposjeda;zaposjedasmo;zaposjedajte;zaposjedaju
muštrati;muštram;muštraše;muštraše;muštrasmo;muštrate;muštraju
rekvirirati;rekviriram;rekviriraše;rekviriraše;rekvirirasmo;rekvirirate;rekviriraše
gundrati;gundram;gundraše;gundraše;gundrasmo;gundrate;gundraju
raskidati;raskidah;raskidaš;neka raskida;raskidasmo;raskidajte;neka raskidaju
razočarati;razočarah;razočaraj;razočara;razočarajmo;razočarajte;razočaraju
tapecirati;tapeciram;tapeciraše;tapeciraše;tapecirasmo;tapecirate;tapeciraju
sintetizirati;sintetiziram;sintetiziraše;sintetiziraše;sintetizirasmo;sintetizirate;sintetiziraše
upošljavati;upošljavah;upošljavaše;neka upošljava;upošljavasmo;upošljavajte;upošljavahu
dijalogizirati;dijalogiziram;dijalogiziraše;dijalogiziraše;dijalogizirasmo;dijalogizirate;dijalogiziraše
divljati;divljam;divljaš;divlja;divljamo;divljate;divljaju
skladati;skladam;skladaše;skladaše;skladasmo;skladate;skladaju
isparati;isparam;isparaš;ispara;isparasmo;isparate;isparaše
iskorištavati;iskorištavah;iskorištavaše;neka iskorištava;iskorištavasmo;iskorištavajte;neka iskorištavaju
dobavljati;dobavljah;dobavljaše;neka dobavlja;dobavljasmo;dobavljajte;neka dobavljaju
izuzimati;izuzimah;izuzimaše;neka izuzima;izuzimasmo;izuzimajte;izuzimahu
počinjati;počinjah;počinjaše;počinja;počinjasmo;počinjite;počinjahu
zbivati;zbivam;zbivaš;zbiva;zbivasmo;zbivajte;zbivaju
emigrirati;emigriram;emigriraše;emigriraše;emigrirasmo;emigrirate;emigriraše
rasparcelirati;rasparceliram;rasparceliraš;rasparcelira;rasparcelirasmo;rasparcelirate;rasparceliraše
diskriminirati;diskriminiram;diskriminiraše;diskriminiraše;diskriminirasmo;diskriminirate;diskriminiraše
zakucavati;zakucavah;zakucavaše;neka zakucava;zakucavasmo;zakucavajte;neka zakucavaju
vucarati;vucaram;vucaraše;vucaraše;vucarasmo;vucarate;vucaraju
pripravljati;pripravljah;pripravljaš;neka pripravlja;pripravljasmo;pripravljajte;neka pripravljaju
ishodati;ishodah;ishodaš;ishoda;ishodasmo;ishodaste;ishodaše
pobrkati;pobrkam;pobrkaš;pobrka;pobrkasmo;pobrkate;pobrkaše
ujedati;ujedam;ujedaše;ujedaše;ujedasmo;ujedate;ujedaju
oktroirati;oktroiram;oktroiraš;oktroiraše;oktroirasmo;oktroirate;oktroiraju
razmnažati;razmnažah;razmnažaše;neka razmnaža;razmnažasmo;razmnažajte;razmnažahu
zatrpavati;zatrpavah;zatrpavaše;zatrpava;zatrpavasmo;zatrpavajte;zatrpavahu
pozdravljati;pozdravljam;pozdravljaše;pozdravljaše;pozdravljasmo;pozdravljate;pozdravljaju
dogovarati;dogovarah;dogovaraše;dogovara;dogovarasmo;dogovaraste;dogovarahu
nadomještati;nadomještah;nadomještaše;neka nadomješta;nadomještasmo;nadomještajte;neka nadomještaju
recitirati;recitiram;recitiraše;recitiraše;recitirasmo;recitirate;recitiraju
prelivati;prelivah;prelivaše;neka preliva;prelivasmo;prelivajte;neka prelivaju
organizirati;organizirah;organiziraš;organiziraše;organizirasmo;organiziraste;organizirahu
elaborirati;elaborirah;elaboriraše;neka elaborira;elaborirasmo;elaborirajte;neka elaboriraju
minimizirati;minimizirah;minimiziraše;neka minimizira;minimizirasmo;minimizirajte;neka minimiziraju
prosanjati;prosanjam;prosanjaš;prosanja;prosanjasmo;prosanjate;prosanjaše
evaporirati;evaporirah;evaporiraše;neka evaporira;evaporirasmo;evaporirajte;neka evaporiraju
otežati;otežah;otežaš;oteža;otežajmo;otežajte;otežaše
porigati;porigah;porigaš;neka poriga;porigasmo;porigajte;neka porigaju
deložirati;deložiram;deložiraše;deložiraše;deložirasmo;deložirate;deložiraše
raspakiravati;raspakiravah;raspakiravaše;neka raspakirava;raspakiravasmo;raspakiravajte;neka raspakiravaju
ocrtavati;ocrtavah;ocrtavaše;ocrtava;ocrtavasmo;ocrtavajte;ocrtavahu
zasvrdlati;zasvrdlam;zasvrdlaš;zasvrdla;zasvrdlasmo;zasvrdlate;zasvrdlaše
rasformirati;rasformiram;rasformiraš;rasformira;rasformirasmo;rasformirate;rasformiraše
restituirati;restituiram;restituiraše;restituiraše;restituirasmo;restituirate;restituiraše
pomanjkati;pomanjkam;pomanjkaš;pomanjka;pomanjkasmo;pomanjkajte;pomanjkaju
opstati;opstadoh;opstade;opsta;opstadosmo;opstadoste;opstadoše
kolabirati;kolabiram;kolabiraše;kolabiraše;kolabirasmo;kolabirate;kolabiraše
abdicirati;abdiciram;abdiciraše;abdiciraše;abdicirasmo;abdicirate;abdiciraše
odijevati;odijevah;odijevaj;odijeva;odijevajmo;odijevajte;odijevahu
ugrožavati;ugrožavam;ugrožavaše;ugrožavaše;ugrožavasmo;ugrožavate;ugrožavaju
uščuvati;uščuvah;uščuvaš;neka uščuva;uščuvasmo;uščuvaste;neka uščuvaju
vrzmati;vrzmam;vrzmaše;vrzmaše;vrzmasmo;vrzmate;vrzmahu
uprskati;uprskam;uprskaš;uprska;uprskasmo;uprskate;uprskaše
zakucati;zakucam;zakucaš;zakuca;zakucasmo;zakucajte;zakucaju
popucati;popucam;popucaš;popuca;popucasmo;popucajte;popucat
skupljati;skupljam;skupljaše;skupljaše;skupljamo;skupljajte;skupljahu
zabavljati;zabavljam;zabavljaš;zabavljaše;zabavljasmo;zabavljate;zabavljahu
zamjerati;zamjerah;zamjeraš;zamjera;zamjerasmo;zamjerajte;zamjeraju
ufati;ufam;ufaše;ufaše;ufasmo;ufate;ufaju
skucati;skucam;skucaš;skuca;skucasmo;skucate;skucaše
odsvirati;odsvirah;odsviraš;neka odsvira;odsvirasmo;odsvirajte;neka odsviraju
detronizirati;detroniziram;detroniziraše;detroniziraše;detronizirasmo;detronizirate;detroniziraše
žeđati;žeđah;žeđaš;žeđaše;žeđasmo;žeđajte;žeđahu
osvjetlati;osvjetlam;osvjetlaš;osvjetla;osvjetlasmo;osvjetlate;osvjetlat
otperjati;otperjah;otperjaš;neka otperja;otperjasmo;otperjajte;neka otperjaju
sprečavati;sprečavam;-;sprečavaše;-;-;-
orijentirati;orijentirah;orijentiraš;orijentiraše;orijentirasmo;orijentirajte;orijentirahu
kidati;kidam;kidaše;kidaše;kidasmo;kidate;kidaju
trzati;trzam;trzaše;trzaše;trzasmo;trzate;trzaju
specificirati;specificiram;specificiraše;specificiraše;specificirasmo;specificirate;specificiraše
prosperirati;prosperiram;prosperiraše;prosperiraše;prosperirasmo;prosperirate;prosperiraše
osvjetljavati;osvjetljavam;osvjetljavaše;osvjetljavaše;osvjetljavasmo;osvjetljavate;osvjetljavaju
skuhati;skuham;skuhaš;skuha;skuhasmo;skuhate;skuhaše
odašiljati;odašiljah;odašiljaše;odašilje;odašiljasmo;odašiljite;odašiljahu
otkopati;otkopam;otkopaš;otkopa;otkopasmo;otkopate;otkopat
teledirigirati;teledirigiram;teledirigiraše;teledirigiraše;teledirigirasmo;teledirigirate;teledirigiraju
kalati;kalam;kalaše;kalaše;kalasmo;kalate;kalahu
nagomilati;nagomilam;nagomilaj;nagomila;nagomilajmo;nagomilajte;nagomilaju
rasklimavati;rasklimavah;rasklimavaše;neka rasklimava;rasklimavasmo;rasklimavajte;neka rasklimavaju
nagurati;nagurah;naguraš;nagura;nagurasmo;nagurajte;naguraše
ponašati;ponašam;ponašaš;ponaša;ponašasmo;ponašajte;ponašaju
tipizirati;tipiziram;tipiziraš;tipiziraše;tipizirasmo;tipizirate;tipiziraju
seljakati;seljakam;seljakaše;seljakaše;seljakasmo;seljakate;seljakaju
apstrahirati;apstrahiram;apstrahiraše;apstrahiraše;apstrahirasmo;apstrahirate;apstrahiraše
nakzcati;-;-;-;-;-;-
dublirati;dubliram;dubliraše;dubliraše;dublirasmo;dublirate;dubliraše
podržavati;podržavam;podržavaše;podržavaše;podržavasmo;podržavate;podržavahu
zvrndati;zvrndam;zvrndaš;zvrndaše;zvrndasmo;zvrndate;zvrndaju
informirati;informiram;informiraš;informiraše;informirasmo;informirate;informiraju
brkati;brkam;brkaš;brkaše;brkasmo;brkate;brkaju
diskvalificirati;diskvalificiram;diskvalificiraše;diskvalificiraše;diskvalificirasmo;diskvalificirate;diskvalificiraše
jamrati;jamram;jamraše;jamraše;jamrasmo;jamrate;jamraju
oboružati;oboružah;oboružaj;oboruža;oboružajmo;oboružaste;oboružaše
mežurati;mežurah;mežuraš;neka mežura;mežurasmo;mežurajte;neka mežuraju
ucrvati;ucrvam;ucrvaš;ucrva;ucrvasmo;ucrvate;ucrvaše
pretjerati;pretjeram;pretjeraš;pretjera;pretjerasmo;pretjerate;pretjeraše
anketirati;anketiram;anketiraše;anketiraše;anketirasmo;anketirate;anketiraše
pogibati;pogibah;pogibaše;neka pogiba;pogibasmo;pogibajte;neka pogibaju
tetovirati;tetoviram;tetoviraše;tetoviraše;tetovirasmo;tetovirate;tetoviraše
zijati;zijam;zijaše;zijaše;zijasmo;zijate;zijaju
nažuljati;nažuljah;nažuljaj;nažulja;nažuljajmo;nažuljajte;nažuljaše
dočekati;dočekah;dočekaj;-;dočekasmo;dočekajte;dočekaju
pojašnjavati;pojašnjavah;pojašnjavaše;pojašnjava;pojašnjavasmo;pojašnjavajte;pojašnjavaju
zabljeskati;zabljeskam;zabljeskaš;zabljeska;zabljeskasmo;zabljeskate;zabljeskaše
sakupljati;sakupljah;sakupljaše;neka sakuplja;sakupljasmo;sakupljajte;neka sakupljaju
svirati;svirah;sviraš;svira;svirajmo;sviraste;svirahu
odolijevati;odolijevam;odolijevaše;odolijevaše;odolijevasmo;odolijevate;odolijevaju
ispipati;ispipam;ispipaš;ispipa;ispipasmo;ispipate;ispipaše
dezavuirati;dezavuiram;dezavuiraše;dezavuiraše;dezavuirasmo;dezavuirate;dezavuiraše
prospavati;prospavam;prospavaš;prospava;prospavasmo;prospavate;prospavat
povješati;povješam;povješaš;povješa;povješasmo;povješate;povješaše
glačati;glačah;glačaj;glačaše;glačajmo;glačajte;glačaju
izasipati;izasipam;izasipaše;izasipaše;izasipasmo;izasipate;izasipaju
obučavati;obučavah;obučavaše;obučava;obučavasmo;obučavajte;obučavahu
bivati;bivam;bivaše;bivaše;bivasmo;bivate;bivaju
generirati;generirah;generiraše;generira;generirasmo;generirajte;generirahu
nadigrati;nadigram;nadigraš;nadigra;nadigrasmo;nadigrate;nadigraše
potrgati;potrgam;potrgaš;potrga;potrgasmo;potrgate;potrgaše
isklizavati;isklizavah;isklizavaše;neka isklizava;isklizavasmo;isklizavajte;neka isklizavaju
gombati;gombam;gombaše;gombaše;gombasmo;gombate;gombaju
profitirati;profitiram;profitiraše;profitiraše;profitirasmo;profitirate;profitiraše
zagovarati;zagovaram;zagovaraše;zagovaraše;zagovarasmo;zagovarate;zagovaraju
raspačavati;raspačavah;raspačavaše;neka raspačava;raspačavasmo;raspačavajte;neka raspačavaju
zabrbljati;-;-;-;-;-;-
prekopati;prekopam;prekopaš;prekopa;prekopasmo;prekopate;prekopaše
sumnjati;sumnjam;sumnjaše;sumnjaše;sumnjasmo;sumnjate;sumnjaju
zavarati;zavaram;zavaraš;zavara;zavarasmo;zavarate;zavaraše
stigmatizirati;stigmatiziram;stigmatiziraše;stigmatiziraše;stigmatizirasmo;stigmatizirate;stigmatiziraše
spadati;spadam;spadaše;spadaše;spadasmo;spadate;spadaju
rascjepkati;rascjepkam;rascjepkaš;rascjepka;rascjepkasmo;rascjepkate;rascjepkaše
očaravati;očaravah;očaravaš;očarava;očaravasmo;očaravajte;očaravaju
zaravnati;zaravnam;zaravnaš;zaravna;zaravnasmo;zaravnajte;zaravnat
otresati;otresah;otresaše;otresa;otresasmo;otresajte;otresaju
njuškati;njuškam;njuškaš;njuškaše;njuškasmo;njuškate;njuškaju
zamotavati;zamotavah;zamotavaše;neka zamotava;zamotavasmo;zamotavajte;neka zamotavaju
podgrijavati;podgrijavah;podgrijavaše;neka podgrijava;podgrijavasmo;podgrijavajte;neka podgrijavaju
odvraćati;odvraćah;odvraćaš;neka odvraća;odvraćasmo;odvraćaste;neka odvraćaju
zgurati;zguram;zguraš;zgura;zgurasmo;zgurate;zguraše
zašuškati;zašuškam;zašuškaš;zašuška;zašuškasmo;zašuškate;zašuškaše
odgurati;odguram;odguraš;odgura;odgurasmo;odgurate;odguraše
prošarati;prošaram;prošaraš;prošara;prošarasmo;prošarate;prošaraše
papricirati;papriciram;papriciraše;papriciraše;papricirasmo;papricirate;papriciraju
razvraćati;razvraćah;razvraćaše;neka razvraća;razvraćasmo;razvraćajte;neka razvraćaju
napuštati;napuštah;napuštaše;napušta;napuštasmo;napuštajte;napuštahu
spavati;spavam;spavaše;spavaše;spavasmo;spavate;spavahu
obnašati;obnašam;obnašaše;obnašaše;obnašasmo;obnašate;obnašaju
krckati;krckah;krckaše;krcka;krckasmo;krckajte;krckahu
uvrebati;uvrebam;uvrebaš;uvreba;uvrebasmo;uvrebate;uvrebaše
izborati;izboram;izboraš;izbora;izborasmo;izborate;izboraše
ministrirati;ministriram;ministriraše;ministriraše;ministrirasmo;ministrirate;ministriraju
grabuljati;grabuljam;grabuljaše;grabuljaše;grabuljasmo;grabuljate;grabuljaju
diktirati;diktiram;diktiraš;diktiraše;diktirasmo;diktirate;diktiraju
propuštati;propuštam;propuštaše;propuštaše;propuštasmo;propuštate;propuštahu
zarivati;zarivah;zarivaše;neka zariva;zarivasmo;zarivajte;neka zarivaju
izlokavati;izlokavah;izlokavaše;neka izlokava;izlokavasmo;izlokavajte;neka izlokavaju
zalijevati;zaljevan;zalijevaj;zalijeva;zalijevajmo;zalijevajte;zalijevaju
izbijati;izbijam;izbijaše;izbijaše;izbijasmo;izbijate;izbijahu
zaimati;zaimam;zaimaše;zaimaše;zaimasmo;zaimate;zaimaju
pootimati;pootimam;pootimaš;pootima;pootimasmo;pootimajte;pootimaju
kašljucati;kašljucam;kašljucaše;kašljucaše;kašljucasmo;kašljucate;kašljucaju
poštapati;poštapam;poštapaše;poštapaše;poštapasmo;poštapate;poštapaju
turati;turam;turaše;turaše;turasmo;turate;turaju
prohujati;prohujam;prohujaš;prohuja;prohujasmo;prohujate;prohujaše
zazivati;zazivam;zazivaše;zazivaše;zazivasmo;zazivate;zazivahu
izagnati;izagnam;izagnaš;izagna;izagnasmo;izagnaste;izagnaše
uznemiravati;uznemiravah;uznemiravaše;neka uznemirava;uznemiravasmo;uznemiravajte;neka uznemiravaju
podrivati;podrivah;podrivaše;podriva;podrivasmo;podrivajte;podrivahu
ucmekati;ucmekam;ucmekaš;ucmeka;ucmekasmo;ucmekate;ucmekaše
raskopčavati;raskopčavah;raskopčavaše;neka raskopčava;raskopčavasmo;raskopčavajte;neka raskopčavaju
iskrižati;iskrižah;iskrižaš;iskriža;iskrižasmo;iskrižajte;iskrižaše
nazivati;nazivam;nazivaj;nazivaše;nazivasmo;nazivajte;nazivahu
kromirati;kromiram;kromiraše;kromiraše;kromirasmo;kromirate;kromiraše
imati;imah;imaj;imaše;imasmo;imaste;imahu
servirati;serviram;serviraše;serviraše;servirasmo;servirate;serviraše
sabotirati;sabotiram;sabotiraše;sabotiraše;sabotirasmo;sabotirate;sabotiraše
zaredati;zaredam;zaredaj;zareda;zaredajmo;zaredajte;zaredaju
izrigati;izrigam;izrigaš;izriga;izrigasmo;izrigate;izrigaše
izganjati;izganjah;izganjaše;izganja;izganjasmo;izganjajte;izganjahu
kuhati;kuham;kuhaš;kuhaše;kuhasmo;kuhate;kuhat
cugati;cugam;cugaše;cuga;cugasmo;cugate;cugaju
postavljati;postavljam;postavljaš;postavljaše;postavljamo;postavljajte;postavljahu
počupati;počupah;počupaš;počupa;počupasmo;počupaste;počupaše
kapati;kapam;kapaše;kapaše;kapasmo;kapate;kapljući
protežirati;protežiram;protežiraš;protežira;protežirasmo;protežirate;protežiraše
garažirati;garažiram;garažiraše;garažiraše;garažirasmo;garažirate;garažiraše
dopeljati;dopeljam;dopeljaš;dopelja;dopeljasmo;dopeljate;dopeljaše
zaridati;zaridam;zaridaš;zarida;zaridasmo;zaridajte;zaridaju
izračunati;izračunah;izračunaj;izračuna;izračunajmo;izračunajte;izračunaše
postradati;postradam;postradaš;postrada;postradasmo;postradate;postradaše
dognati;dognam;dognaš;dogna;dognasmo;dognate;dognaše
poznati;poznah;poznaš;pozna;poznasmo;-;poznaše
komparirati;kompariram;kompariraše;kompariraše;komparirasmo;komparirate;kompariraše
jadati;jadam;jadaše;jadaše;jadasmo;jadate;jadaju
taktizirati;taktiziram;taktiziraše;taktiziraše;taktizirasmo;taktizirate;taktiziraju
akcentirati;akcentiram;akcentiraše;akcentiraše;akcentirasmo;akcentirate;akcentiraše
frazirati;fraziram;fraziraše;fraziraše;frazirasmo;frazirate;fraziraju
isprosipati;isprosipam;isprosipaš;isprosipa;isprosipasmo;isprosipate;isprosipaše
popuštati;popuštam;popuštaš;popušta;popuštasmo;popuštajte;popuštaju
poetizirati;poetiziram;poetiziraše;poetiziraše;poetizirasmo;poetizirate;poetiziraše
fabulirati;fabuliram;fabuliraše;fabuliraše;fabulirasmo;fabulirate;fabuliraju
istapati;istapah;istapaše;istapa;istapasmo;istapaste;istapahu
razdati;razdam;razdaš;razdade;razdamo;razdate;razdat
blablati;blablam;blablaš;blabla;blablamo;blablate;blablaju
dirati;diram;diraše;diraše;dirasmo;dirate;diraju
deponirati;deponiram;deponiraš;deponiraše;deponirasmo;deponirate;deponiraju
iskapčati;iskapčah;iskapčaše;neka iskapča;iskapčasmo;iskapčajte;iskapčahu
uzidati;uzidam;uzidaš;uzida;uzidasmo;uzidate;uzidaše
karikirati;karikiram;karikiraš;karikiraše;karikirasmo;karikirate;karikiraju
stavljati;stavljam;stavljaše;stavljaše;stavljamo;stavljate;stavljaju
cenzurirati;cenzuriram;cenzuriraš;cenzuriraše;cenzurirasmo;cenzurirate;cenzuriraju
dopremati;dopremah;dopremaše;neka doprema;dopremasmo;dopremajte;neka dopremaju
izravnavati;izravnavah;izravnavaše;izravnava;izravnavasmo;izravnavajte;izravnavahu
vrijeđati;vrijeđam;vrijeđaj;vrijeđa;-;vrijeđajte;vrijeđaju
usjecati;usjecah;usjecaše;neka usjeca;usjecasmo;usjecajte;neka usjecaju
napajati;napajam;napajaše;napajaše;napajasmo;napajate;napajaju
sanjkati;sanjkam;sanjkaš;sanjkaše;-;-;-
