nasukati;nasukan;nasukana;nasukano;nasukani;nasukane;nasukaju
pritvarati;pritvaran;pritvarana;pritvarano;pritvarani;pritvarane;pritvarjući
grogirati;grogiran;grogirana;grogirano;grogirani;grogirane;grogirajući
primiješati;primiješam;primiješaš;primiješa;primiješasmo;primiješana;primiješaše
otkucati;otkucavši;otkucana;otkucano;otkucani;otkucane;otkucaše
isprepadati;isprepadan;isprepadana;isprepadano;isprepadani;isprepadane;isprepadaše
čekati;čekan;čekana;čekano;čekani;čekane;čekahu
prosijavati;prosijavam;prosijavaše;prosijavaše;prosijavasmo;prosijavane;prosijavaju
talasati;talasam;talasaše;talasaše;talasasmo;talasate;talasaju
odigrati;odigrah;odigraj;odigra;odigrajmo;odigrajte;odigraše
rekuperirati;rekuperiravši;rekuperirana;rekuperirano;rekuperirani;rekuperirane;rekuperirajući
pjevati;pjevam;pjevaše;pjevaše;pjevasmo;pjevate;pjevahu
uvjeravati;uvjeravah;uvjeravaše;uvjeravaše;uvjeravamo;uvjeravana;uvjeravaju
izdjeljati;izdjeljan;izdjeljaš;izdjeljano;izdjeljasmo;izdjeljane;izdjeljaše
otkopčavati;otkopčavan;otkopčavana;otkopčavano;otkopčavani;otkopčavane;otkopčavajući
povećati;povećah;povećaš;poveća;povećajmo;povećaste;povećaju
odobravati;odobravan;odobravana;odobravano;odobravani;odobravane;odobravaju
napipavati;napipavan;napipavana;napipavano;napipavani;napipavane;napipavajući
srozati;srozam;srozaš;sroza;srozasmo;srozana;srozaše
dovijati;dovijam;dovijaše;dovijaše;dovijasmo;dovijate;dovijaju
promumljati;promumljavši;promumljaš;neka promumlja;promumljasmo;promumljate;neka promumljaju
moljakati;moljakan;moljakana;moljakano;moljakani;moljakane;moljakajući
ponavljati;ponavljah;ponavljaš;ponavlja;ponavljajmo;ponavljajte;ponavljaju
nastradati;nastradam;nastradaš;nastrada;nastradasmo;nastradate;nastradaše
izjedati;izjedan;izjedana;izjedano;izjedani;izjedane;izjedajući
hipnotizirati;hipnotiziram;hipnotiziraše;hipnotiziraše;hipnotizirasmo;hipnotizirate;hipnotizirajući
preveslati;preveslam;preveslaš;prevesla;preveslasmo;preveslana;preveslaše
štampati;štampah;štampaj;štampaše;štampajmo;štampajte;štampat
otpetljati;otpetljavši;otpetljana;otpetljano;otpetljani;otpetljane;neka otpetljaju
prepravljati;prepravljavši;prepravljana;prepravljano;prepravljani;prepravljane;prepravljajući
grizuckati;grizuckan;grizuckana;grizuckano;grizuckani;grizuckane;grizuckajući
naoružati;naoružam;naoružaj;naoruža;naoružajmo;naoružajte;naoružaše
pjevuckati;pjevuckan;pjevuckana;pjevuckano;pjevuckani;pjevuckane;pjevuckaju
ilustrirati;ilustriram;ilustriraš;ilustriraše;ilustrirasmo;ilustrirate;ilustriraju
iskidati;iskidavši;iskidaj;iskidaše;iskidajmo;iskidajte;iskidahu
hvastati;hvastan;hvastana;hvastano;hvastani;hvastane;hvastajući
štirkati;štirkam;štirkaše;štirka;štirkasmo;štirkana;štirkaju
uzmanjkati;uzmanjkam;uzmanjkaš;uzmanjka;uzmanjkasmo;uzmanjkate;uzmanjkaše
promucati;promucam;promucaš;promuca;promucasmo;promucate;promucaše
vriskati;vriskam;vriskaše;vriskaše;vriskasmo;vriskate;vriskaju
uskomešati;uskomešam;uskomešaš;uskomeša;uskomešasmo;uskomešane;uskomešaše
potkopati;potkopam;potkopaš;potkopa;potkopasmo;potkopate;potkopaše
zapretati;zapretavši;zapretaš;zapreta;zapretasmo;zapretajte;zapretaju
piskati;piskam;piskaše;piskaše;piskasmo;piskate;piskajući
izvolijevati;izvolijevao;izvolijevaše;izvolijevalo;izvolijevasmo;izvolijevate;izvolijevajući
izrugati;izrugavši;izrugana;izrugano;izrugani;izrugane;neka izrugaju
odvikavati;odvikavan;odvikavana;odvikavano;odvikavani;odvikavane;odvikavajući
zavriskati;zavriskam;zavriskaš;zavriska;zavriskasmo;zavriskate;zavriskaše
spakirati;spakiram;spakiraš;spakira;spakirasmo;spakirana;spakiraše
kolebati;kolebah;kolebaše;kolebalo;kolebasmo;kolebale;kolebajući
nemati;nemah;nemaše;nemaše;nemasmo;nemate;nemahu
pohađati;pohađah;pohađaše;pohađalo;pohađasmo;pohađajte;pohađajući
pronjuškati;pronjuškam;pronjuškaš;pronjuška;pronjuškasmo;pronjuškana;pronjuškaše
zastupati;zastupam;zastupaše;zastupaše;zastupasmo;zastupate;zastupahu
analizirati;analiziram;-;-;-;-;-
podšišati;podšišan;podšišana;podšišano;podšišani;podšišane;podšišaše
capkati;capkam;capkaše;capkaše;capkasmo;capkate;capkajući
navraćati;navraćah;navraćaš;navraća;navraćasmo;navraćale;navraćajući
komešati;komešam;komešaše;komešaše;komešasmo;komešate;komešajući
progledati;progledam;progledaš;progleda;progledasmo;progledana;progledaše
propisati;propišem;propiši;propiše;propišimo;propišite;propišu
zapažati;zapažah;zapažaj;zapaža;zapažajmo;zapažajte;zapažaju
pokoravati;pokoravan;pokoravana;pokoravana;pokoravani;pokoravana;pokoravajući
preustrojavati;preustrojavavši;preustrojavana;preustrojavano;preustrojavani;preustrojavane;preustrojavajući
puntati;-;-;-;-;-;-
pijuckati;pijuckam;pijuckaše;pijuckaše;pijuckasmo;pijuckate;pijuckaju
razbijati;razbijam;razbijaše;razbijaše;-;razbijana;razbijahu
smekšati;smekšam;smekšaš;smekša;smekšasmo;smekšana;smekšaše
kontraindicirati;kontraindiciran;kontraindicirana;kontraindicirano;kontraindicirani;kontraindicirane;kontraindicirajući
obnavljati;obnavljan;obnavljana;obnavljano;obnavljani;obnavljane;obnavljahu
onesposobljavati;onesposobljavan;onesposobljavana;onesposobljavano;onesposobljavani;onesposobljavane;onesposobljavajući
istuširati;istuširan;istuširana;istuširano;istuširani;istuširane;istuširaše
sputati;sputam;sputaš;sputa;sputasmo;sputate;sputaše
prokapati;prokapam;prokapaše;prokapaše;prokapasmo;prokapane;prokapaše
gegati;gegam;gegaše;gegaše;gegasmo;gegate;gegahu
promatrati;promatram;promatraj;promatra;promatramo;promatrana;promatrahu
muzicirati;muziciram;muziciraše;muziciraše;muzicirasmo;muzicirate;muzicirajući
razvaljati;razvaljavši;razvaljana;razvaljano;razvaljani;razvaljane;neka razvaljaju
izgledati;izgledam;izgledaše;izgledaše;izgledasmo;izgledate;izgledaju
pripajati;pripajan;pripajana;pripajano;pripajani;pripajane;pripajajući
oglašavati;oglašavan;oglašavana;oglašavano;oglašavani;oglašavane;oglašavajući
pljuskati;pljuskam;pljuskaše;pljuskaše;pljuskasmo;pljuskate;pljuskahu
dokončati;dokončah;dokončaš;dokonča;dokončajmo;dokončajte;dokončat
spremati;spremam;spremaše;spremaše;spremasmo;spremana;spremaju
perutati;perutan;perutana;perutano;perutani;perutane;perutajući
dirkati;dirkan;dirkana;dirkano;dirkani;dirkane;dirkajući
internirati;interniram;interniraše;interniraše;internirasmo;internirate;interniraše
improvizirati;improviziram;improviziraše;improviziraše;improvizirasmo;improvizirate;improviziraše
polirati;poliram;poliraš;polira;polirasmo;polirajte;poliraju
izlupati;izlupan;izlupana;izlupano;izlupani;izlupane;izlupaše
emajlirati;emajliram;emajliraše;emajliraše;emajlirasmo;emajlirate;emajliraše
koketirati;koketiravši;koketiraše;koketiraše;koketirasmo;koketirate;koketirajući
stvarati;stvaram;stvaraš;stvaraše;stvarasmo;stvarate;stvaraju
imitirati;imitirah;imitiraj;imitiraše;imitirajmo;imitirajte;imitirahu
nalupati;nalupan;nalupana;nalupano;nalupani;nalupane;nalupaše
eksplodirati;eksplodiram;eksplodiraše;eksplodiraše;eksplodirasmo;eksplodirate;eksplodiraše
prolutati;prolutam;prolutaš;proluta;prolutasmo;prolutate;prolutaše
identificirati;identificiram;-;-;-;-;-
kolaborirati;kolaboriravši;kolaboriraše;kolaboriraše;kolaborirasmo;kolaborirate;kolaborirajući
razgledati;razgledam;razgledaše;razgledaše;razgledasmo;razgledane;razgledaše
blistati;blistam;blistaše;blistaše;blistasmo;blistate;blistahu
izmiksati;izmiksavši;izmiksana;izmiksano;izmiksani;izmiksane;izmiksaše
rastjeravati;rastjeravan;rastjeravana;rastjeravano;rastjeravani;rastjeravane;rastjeravajući
sanjati;sanjam;sanjaš;sanja;sanjasmo;sanjate;sanjaju
odsanjati;odsanjavši;odsanjana;odsanjano;odsanjani;odsanjane;odsanjaše
plasirati;plasiran;plasirana;plasirano;plasirani;plasirane;plasirajući
izmućkati;izmućkavši;izmućkana;izmućkano;izmućkani;izmućkane;izmućkaše
mitraljirati;mitraljiram;mitraljiraše;mitraljiraše;mitraljirasmo;mitraljirana;mitraljiraju
utabati;utabam;utabaš;utaba;utabasmo;utabane;utabaše
razasipati;razasipan;razasipana;razasipano;razasipani;razasipane;razasipljući
akceptirati;akceptiravši;akceptirana;akceptirano;akceptirani;akceptirane;akceptirajući
splašnjavati;splašnjavao;splašnjavala;splašnjavalo;splašnjavali;splašnjavale;splašnjavajući
ucrtati;ucrtam;ucrtaš;ucrta;ucrtasmo;ucrtate;ucrtaše
užasavati;užasavam;užasavaše;užasavaše;užasavasmo;užasavana;užasavaju
nabujati;nabujan;nabujana;nabujano;nabujani;nabujane;nabujat
demolirati;demoliram;demoliraše;demoliraše;demolirasmo;demolirate;demoliraše
svršavati;svršavam;svršavaše;svršavaše;svršavasmo;svršavana;svršavaju
apsolutizirati;apsolutiziram;apsolutiziraše;apsolutiziraše;apsolutizirasmo;apsolutizirate;apsolutiziraše
ugibati;ugibam;ugibaše;ugibaše;ugibasmo;ugibate;ugibahu
igrati;igram;igraše;igraše;igrasmo;igrate;igrahu
počešljati;počešljah;počešljaj;počešlja;počešljajmo;počešljajte;počešljaše
onemogućavati;onemogućavan;onemogućavana;onemogućavano;onemogućavani;onemogućavane;onemogućavajući
odsijecati;odsijecan;odsijecana;odsijecano;odsijecani;odsijecane;odsijecahu
uplivati;uplivam;uplivaš;upliva;uplivasmo;uplivate;uplivaše
sklapati;sklapam;sklapaše;sklapaše;sklapasmo;sklapana;sklapaju
hrskati;hrskam;hrskaše;hrskaše;hrskasmo;hrskate;hrskaju
izgnati;izgnah;izgnaj;izgna;izgnajmo;izgnajte;izgnaše
protjerati;protjeram;protjeraš;protjera;protjerasmo;protjerate;protjerat
svladavati;svladavavši;svladavaše;svladavano;svladavajmo;svladavane;neka svladavaju
odzvanjati;odzvanjam;odzvanjaše;odzvanjaše;odzvanjasmo;odzvanjate;odzvanjajući
listati;listan;listana;listano;listani;listane;listajući
osvajati;osvajan;osvajana;osvajano;osvajani;osvajane;osvajajući
raspoznati;raspoznam;raspoznaš;raspozna;raspoznasmo;raspoznata;raspoznaše
rasklimati;rasklimavši;rasklimaš;rasklimalo;rasklimali;rasklimale;neka rasklimaju
dočepati;dočepan;dočepana;dočepano;dočepani;dočepane;dočepaše
notirati;notiravši;notirana;notirano;notirani;notirane;notirajući
drmati;drmam;drmaše;drma;drmasmo;drmana;drmaju
posukljati;posukljam;posukljaš;posuklja;posukljasmo;posukljate;posukljaše
pregledati;pregledam;pregledaš;pregleda;pregledasmo;pregledane;pregledaše
detaljizirati;detaljiziram;detaljiziraše;detaljiziraše;detaljizirasmo;detaljizirate;detaljiziraše
probati;probam;probaše;probaše;probasmo;probate;probaše
preparirati;prepariram;prepariraše;prepariraše;preparirasmo;preparirate;prepariraše
razlamati;razlaman;razlamana;razlamano;razlamani;razlamane;razlamajući
brabonjati;brabonjam;brabonjaše;brabonjaše;brabonjasmo;brabonjate;brabonjaju
harati;haram;haraše;haraše;harasmo;harate;harajući
umarati;umaram;umaraš;umaraše;-;-;umaraju
osigurati;osigurah;osiguraj;osigura;osigurajmo;osiguraste;osiguraše
popričati;popričavši;popričana;popričana;popričani;popričana;popričana
eksportirati;eksportiram;eksportiraše;eksportiraše;eksportirasmo;eksportirate;eksportiraše
branati;branam;branaše;branaše;branasmo;branana;branaju
pasterizirati;pasteriziram;pasteriziraše;pasteriziraše;pasterizirasmo;pasterizirate;pasteriziraše
vješati;vješam;vješaše;vješaše;vješasmo;vješane;vješaju
marširati;marširam;marširaše;marširaše;marširasmo;marširate;marširajući
vježbati;vježbam;vježbaj;vježbaše;-;vježbana;vježbaju
motati;motan;motana;motano;motani;motane;motahu
zgražati;zgražam;zgražaše;zgražaše;zgražasmo;zgražate;zgražaju
ovladavati;ovladavan;ovladavana;ovladavano;ovladavani;ovladavane;ovladavajući
pregurati;preguram;preguraš;pregura;pregurasmo;pregurana;preguraše
ispričati;ispričah;ispričaš;ispriča;ispričajmo;ispričaste;ispričaju
sjeckati;sjeckam;sjeckaše;sjeckaše;sjeckasmo;sjeckana;sjeckaju
štrajkati;štrajkam;štrajkaj;-;štrajkasmo;štrajkate;štrajkahu
opravdati;opravdah;opravdaj;opravda;opravdajmo;opravdajte;opravdaše
jetkati;jetkan;jetkana;jetkano;jetkani;jetkane;jetkajući
klanjati;klanjah;klanjaš;klanjalo;klanjasmo;klanjale;klanjahu
zaribati;zariban;zaribana;zaribana;zaribani;zaribana;zaribana
stropoštati;stropoštam;stropoštaš;stropošta;stropoštasmo;stropoštate;stropoštaše
zlostavljati;zlostavljah;zlostavljala;zlostavljano;zlostavljasmo;zlostavljale;zlostavljajući
nastavljati;nastavljan;nastavljana;nastavljano;nastavljani;nastavljane;nastavljahu
zapovijedati;zapovijedam;zapovijedaš;zapovijeda;zapovijedasmo;zapovijedajte;zapovijedaju
nabasati;nabasam;nabasaš;nabasa;nabasasmo;nabasate;nabasaše
imigrirati;imigriram;imigriraše;imigriraše;imigrirasmo;imigrirate;imigrirajući
ciljati;ciljam;ciljaš;ciljaše;ciljasmo;ciljate;ciljaju
zaključati;zaključah;zaključaš;zaključa;zaključajmo;zaključajte;zaključaju
zakoturati;zakoturavši;zakoturana;zakoturana;zakoturani;zakoturana;zakoturana
heklati;heklan;heklana;heklano;heklani;heklane;heklajući
svađati;svađam;svađaj;svađaše;-;svađana;svađahu
puncirati;punciram;punciraše;punciraše;puncirasmo;puncirate;punciraše
rugati;rugam;rugaš;rugaše;rugasmo;rugate;rugaju
plisirati;plisiram;plisiraš;plisiraše;plisirasmo;plisirate;plisiraju
prigovarati;prigovaram;prigovaraše;prigovaraše;prigovarasmo;prigovarate;prigovaraju
ožbukati;ožbukam;ožbukaš;ožbuka;ožbukasmo;ožbukate;ožbukaše
demisionirati;demisioniram;demisioniraš;demisionira;demisionirasmo;demisionirate;demisioniraše
prekuhati;prekuham;prekuhaš;prekuha;prekuhasmo;prekuhate;prekuhaše
poklanjati;poklanjan;poklanjana;poklanjana;poklanjani;poklanjana;poklanjajući
subvencionirati;subvencioniram;subvencioniraše;subvencioniraše;subvencionirasmo;subvencionirate;subvencioniraše
publicirati;publiciram;publiciraš;publiciraše;publicirasmo;publicirate;publiciraju
doštampati;doštampam;doštampaš;doštampa;doštampasmo;doštampana;doštampaše
tabati;tabam;tabaš;tabaše;tabasmo;tabate;tabaju
dekretirati;dekretiram;dekretiraše;dekretiraše;dekretirasmo;dekretirate;dekretiraše
moralizirati;moraliziram;moraliziraše;moraliziraše;moralizirasmo;moralizirate;moraliziraše
omogućavati;omogućavan;omogućavana;omogućavano;omogućavani;omogućavane;omogućavajući
prosipati;prosipam;prosipaše;prosipaše;prosipasmo;prosipana;prosipaju
isplivati;isplivavši;isplivana;isplivano;isplivani;isplivane;isplivaše
protjeravati;protjeravan;protjeravana;protjeravano;protjeravani;protjeravane;protjeravajući
suflirati;sufliram;sufliraše;sufliraše;suflirasmo;suflirate;sufliraju
standardizirati;standardiziram;standardiziraše;standardiziraše;standardizirasmo;standardizirate;standardiziraše
smetati;smetah;smetaše;smećaše;smetasmo;smetane;smetahu
tuširati;tuširam;tuširaše;tuširaše;tuširasmo;tuširane;tuširaše
podebljati;podebljam;podebljaš;podeblja;podebljasmo;podebljate;podebljaše
naravnati;naravnan;naravnana;naravnano;naravnani;naravnane;naravnaše
ispijati;ispijan;ispijana;ispijano;ispijani;ispijane;ispijaju
razočaravati;razočaravan;razočaravana;razočaravano;razočaravani;razočaravane;razočaravajući
ustupati;ustupavši;ustupana;ustupano;ustupani;ustupane;ustupajući
prebivati;prebivam;prebivaše;prebivaše;prebivasmo;prebivate;prebivahu
oslikavati;oslikavaavši;oslikavana;oslikavano;oslikavani;oslikavane;oslikavajući
nabrajati;nabrajan;nabrajana;nabrajano;nabrajani;nabrajane;nabrajajući
cinkati;cinkam;cinkaše;cinkaše;cinkasmo;cinkate;cinkaju
definirati;definiram;definiraše;definiraše;definirasmo;definirate;definiraše
napijati;napijan;napijana;napijano;napijani;napijane;napijajući
ispucavati;ispucavan;ispucavana;ispucavano;ispucavani;ispucavane;ispucavajući
peglati;peglan;peglana;peglano;peglani;peglane;peglajući
uobličavati;uobličavan;uobličavana;uobličavano;uobličavani;uobličavane;uobličavajući
refundirati;refundiravši;refundirana;refundirano;refundirani;refundirane;refundirajući
fluktuirati;fluktuiram;fluktuiraše;fluktuiraše;fluktuirasmo;fluktuirate;fluktuiraju
pikirati;pikiram;pikiraše;pikiraše;pikirasmo;pikirate;pikirajući
apelirati;apeliram;apeliraše;apeliraše;apelirasmo;apelirate;apeliraše
faulirati;fauliram;faulirana;faulirano;faulirani;faulirane;faulirajući
odražavati;odražavan;odražavana;odražavano;odražavani;odražavane;odražavahu
zivkati;zivkan;zivkana;zivkano;zivkani;zivkane;zivkajući
razmotati;razmotam;razmota;razmota;-;razmotana;-
kolorirati;koloriravši;kolorirana;kolorirano;kolorirani;kolorirane;kolorirajući
diskutirati;diskutiram;diskutiraše;diskutiraše;diskutirasmo;diskutirate;diskutiraše
lijevati;lijevam;lijevaš;lijevaše;lijevasmo;lijevate;lijevaju
uveseljavati;uveseljavam;uveseljavaše;uveseljavaše;uveseljavasmo;uveseljavana;uveseljavaju
krkljati;-;-;-;-;-;-
zezati;zezan;zezana;zezano;zezani;zezane;zezajući
glumatati;glumatam;glumataše;glumataše;glumatasmo;glumatate;glumatajući
naljoskati;naljoskan;naljoskana;naljoskano;naljoskani;naljoskane;naljoskaše
spjevati;spjevam;spjevaš;-;spjevasmo;spjevana;spjevaše
negirati;negiravši;negirana;negirano;negirani;negirane;negirajući
zvocati;zvocam;zvocaše;zvocaše;zvocasmo;zvocate;zvocajući
zalepršati;zalepršah;zalepršaj;zaleprša;zalepršajmo;zalepršajte;zalepršaju
burkati;burkam;burkaše;burka;burkasmo;burkate;burkajući
kunjati;kunjam;kunjaše;kunjaše;kunjasmo;kunjate;kunjajući
išćuškati;išćuškavši;išćuškana;išćuškano;išćuškani;išćuškane;išćuškaše
detaširati;detaširam;detaširaše;detaširaše;detaširasmo;detaširate;detaširaše
borati;boram;boraš;-;boramo;borane;boraju
prekopirati;prekopiram;prekopiraš;prekopira;prekopirasmo;prekopirana;prekopiraše
zapadati;zapadah;zapadaš;zapadaše;zapadasmo;zapadale;zapadaju
žgati;žgan;žgana;žgano;žgani;žgane;žgajući
ispljuskati;ispljuskan;ispljuskana;ispljuskano;ispljuskani;ispljuskane;ispljuskaše
špikati;špikam;špikaše;špikaše;špikasmo;špikana;špikaju
pogađati;pogađan;pogađana;pogađano;pogađani;pogađane;pogađahu
zazđati;-;-;-;-;-;-
obavijati;obavijan;obavijana;obavijano;obavijani;obavijane;obavijajući
zaigrati;zaigram;zaigraj;zaigra;zaigramo;zaigrate;zaigraju
pulsirati;pulsiram;pulsiraše;pulsiraše;pulsirasmo;pulsirate;pulsiraju
rašljati;rašljam;rašljaše;rašljaše;rašljasmo;rašljate;rašljaju
crkavati;crkavan;crkavana;crkavano;crkavani;crkavane;crkavajući
tumbati;tumbam;tumbaš;tumbaše;tumbasmo;tumbate;tumbaju
rintati;rintao;rintala;rintalo;rintali;rintale;rintajući
kumulirati;kumuliravši;kumulirana;kumulirano;kumulirani;kumulirane;kumulirajući
teturati;teturam;teturaše;teturaše;teturasmo;teturate;teturaju
prokopavati;prokopavam;prokopavaše;prokopavaše;prokopavasmo;prokopavana;prokopavaju
zapjenušati;zapjenušan;zapjenušana;zapjenušana;zapjenušani;zapjenušana;zapjenušana
presijavati;presijavam;presijavaše;presijavaše;presijavasmo;presijavate;presijavaju
diplomatizirati;diplomatiziram;diplomatiziraše;diplomatiziraše;diplomatizirasmo;diplomatizirana;diplomatiziraju
ovjeravati;ovjeravan;ovjeravana;ovjeravano;ovjeravani;ovjeravane;ovjeravajući
signirati;signiram;signiraše;signiraše;signirasmo;signirate;signiraše
procvjetati;procvjetam;procvjetaš;procvjeta;procvjetasmo;procvjetate;procvjetaše
otkoturati;otkoturan;otkoturana;otkoturano;otkoturani;otkoturane;neka otkoturaju
dočitati;dočitan;dočitana;dočitano;dočitani;dočitane;dočitaše
hitati;hitao;hitaj;hitalo;hitajmo;hitane;hitahu
kefati;kefan;kefana;kefano;kefani;kefane;kefajući
šepesati;šepesam;šepesaše;šepesaše;šepesasmo;šepesate;šepesaju
brbljati;brbljah;brbljaš;brbljaše;brbljasmo;brbljate;brbljahu
zapjevati;zapjevam;zapjevaš;zapjeva;zapjevasmo;zapjevajte;zapjevaju
lipsati;lipsam;lipsaš;lipsa;lipsamo;lipsate;lipšu
sanirati;saniram;saniraš;saniraše;sanirasmo;sanirate;saniraju
šikanirati;šikaniram;šikaniraše;šikaniraše;šikanirasmo;šikanirate;šikaniraše
denotirati;denotiravši;denotirana;denotirano;denotirani;denotirane;denotirajući
zakopati;zakopam;zakopaš;zakopa;zakopasmo;zakopajte;zakopat
cizelirati;cizeliram;cizeliraš;cizeliraše;cizelirasmo;cizelirate;cizeliraju
podrazumijevati;podrazumijevan;podrazumijevana;podrazumijevano;podrazumijevani;podrazumijevane;podrazumijevajući
manjkati;manjkam;manjkaše;manjkaše;manjkasmo;manjkate;manjkaju
oponirati;oponiram;oponiraše;oponiraše;oponirasmo;oponirate;oponirajući
deranžirati;deranžiram;deranžiraše;deranžiraše;deranžirasmo;deranžirate;deranžiraše
probijati;probijam;probijaše;probijaše;-;probijana;probijahu
ukucati;ukucam;ukucaš;ukuca;ukucasmo;ukucana;ukucaše
gibati;giban;gibana;gibano;gibani;gibljući;gibahu
zavaljati;zavaljavši;zavaljana;zavaljano;zavaljani;zavaljane;zavaljaše
pregledavati;pregledavah;pregledavaj;pregledavaše;pregledavajmo;pregledavajte;pregledavahu
iskopati;iskopam;iskopaš;iskopa;iskopasmo;iskopate;iskopat
pridobivati;pridobivan;pridobivana;pridobivano;pridobivani;pridobivane;pridobivajući
zibati;ziban;zibana;zibano;zibani;zibane;zibahu
kolacionirati;kolacioniran;kolacionirana;kolacionirano;kolacionirani;kolacionirane;kolacionirajući
bankrotirati;bankrotiram;bankrotiraš;bankrotiraše;bankrotirasmo;bankrotirate;bankrotiraju
demilitarizirati;demilitariziram;demilitariziraše;demilitariziraše;demilitarizirasmo;demilitarizirate;demilitariziraše
preferirati;preferiram;preferiraše;preferiraše;preferirasmo;preferirate;preferiraše
zavaravati;zavaravan;zavaravana;zavaravano;zavaravani;zavaravane;zavaravahu
okoštati;okoštavši;okoštana;okoštano;okoštani;okoštane;okoštaše
konstruirati;konstruiram;konstruirana;konstruirano;konstruirani;konstruirane;konstruirajući
polemizirati;polemiziram;polemiziraše;polemiziraše;polemizirasmo;polemizirate;polemiziraju
otpuštati;otpuštan;otpuštana;otpuštano;otpuštani;otpuštane;otpuštaju
napucati;napucavši;napucana;napucano;napucani;napucane;napucaše
okupljati;okupljan;okupljana;okupljano;okupljani;okupljane;okupljaju
okaljati;okaljam;okaljaš;okalja;okaljasmo;okaljate;okaljaše
zbrajati;zbrajam;zbrajaš;zbraja;zbrajasmo;zbrajajte;zbrajaju
mljackati;mljackao;mljackala;mljackalo;mljackali;mljackale;mljackajući
zablejati;zablejavši;zablejala;zableja;zablejimo;zablejite;zablejaše
pohati;pohan;pohano;pohano;pohasmo;pohano;pohano
opažati;opažan;opažana;opažano;opažani;opažane;opažaju
sastavljati;sastavljan;sastavljana;sastavljano;sastavljani;sastavljane;sastavljaju
ispolitizirati;ispolitiziran;ispolitizirana;ispolitizirano;ispolitizirani;ispolitizirane;ispolitiziraše
prokopati;prokopam;prokopaš;prokopa;prokopasmo;prokopane;prokopaše
uzburkavati;uzburkavan;uzburkavana;uzburkavano;uzburkavani;uzburkavane;uzburkavajući
tikati;tikam;tikaše;tikaše;tikasmo;tikana;tikaju
nakupljati;nakupljan;nakupljana;nakupljano;nakupljani;nakupljane;nakupljajući
rekapitulirati;rekapituliram;rekapituliraše;rekapituliraše;rekapitulirasmo;rekapitulirate;rekapituliraše
zatvarati;zatvaran;zatvarana;zatvarano;zatvarasmo;zatvarane;zatvarahu
kompromitirati;kompromitiravši;kompromitirana;kompromitirano;kompromitirani;kompromitirane;kompromitirajući
ozidati;ozidam;ozidaš;ozida;ozidasmo;ozidate;ozidat
opčarati;opčarah;opčaraj;opčara;opčarajmo;opčarajte;opčarat
zvrjati;zvrjao;zvrjala;zvrjalo;zvrjali;zvrjale;zvrjeći
zaklapati;zaklapam;zaklapaš;zaklapa;zaklapasmo;zaklapajte;zaklapaju
proganjati;proganjan;proganjana;proganjano;proganjasmo;proganjane;proganjajući
rivati;rivavši;rivana;rivano;rivani;rivane;rivajući
zabasati;zabasam;zabasaš;zabasa;zabasasmo;zabasate;zabasaše
zbijati;zbijan;zbijana;zbijano;zbijani;zbijane;zbijahu
čavzljati;čavrljam;čavrljaj;čavrljaše;čavrljamo;čavrljate;čavrljaju
zidati;zidam;zidaše;zidaše;zidasmo;zidate;zidajući
zakopčati;zakopčah;zakopčaš;zakopča;zakopčajmo;zakopčajte;zakopčat
priznati;priznam;priznaš;prizna;priznasmo;priznaste;priznaše
ekspandirati;ekspandiram;ekspandiraše;ekspandiraše;ekspandirasmo;ekspandirate;ekspandiraše
tuckati;tuckam;tuckaše;tuckaše;tuckasmo;tuckana;tuckaju
nakrcavati;nakrcavan;nakrcavana;nakrcavano;nakrcavani;nakrcavane;nakrcavajući
penalizirati;penaliziram;penaliziraše;penaliziraše;penalizirasmo;penalizirate;penaliziraše
popravljati;popravljah;popravljaj;popravlja;popravljajmo;popravljajte;popravljaju
sporazumijevati;sporazumijevam;sporazumijevaše;sporazumijevaše;sporazumijevasmo;sporazumijevate;sporazumijevahu
kenjkati;kenjkao;kenjkala;kenjkalo;kenjkali;kenjkale;kenjkajući
pričati;pričah;pričaše;pričaše;-;pričana;pričahu
balzamirati;balzamiram;balzamiraše;balzamiraše;balzamirasmo;balzamirate;balzamiraše
ventilirati;ventiliram;ventiliraše;ventiliraše;ventilirasmo;ventilirate;ventiliraše
probadati;probadan;probadana;probadano;probadani;probadane;neka probadaju
skljokati;skljokam;skljokaš;skljoka;skljokasmo;skljokate;skljokaše
trabunjati;trabunjam;trabunjaše;trabunjaše;trabunjasmo;trabunjate;trabunjaju
pohitati;pohitam;pohitaše;pohitaše;pohitasmo;pohitate;pohitaše
botanizirati;botaniziram;botaniziraše;botaniziraše;botanizirasmo;botanizirate;botaniziraju
prožvakavati;prožvakavam;prožvakavaše;prožvakavaše;prožvakavasmo;prožvakavana;prožvakavaju
pokoškati;pokoškam;pokoškaš;pokoška;pokoškasmo;pokoškajte;pokoškaju
zgrudati;zgrudan;zgrudana;zgrudano;zgrudani;zgrudane;zgrudaše
minirati;miniran;minirana;minirano;minirani;minirane;minirajući
prorajtati;prorajtam;prorajtaš;prorajta;prorajtasmo;prorajtana;prorajtaše
umiješati;umiješam;umiješaš;umiješa;umiješasmo;umiješate;umiješaše
zagipsati;zagipsam;zagipsaš;zagipsa;zagipsasmo;zagipsana;zagipsaše
nadati;nadah;nadaše;nadaše;nadasmo;nadaste;nadaše
pitati;pitan;pitana;pitano;pitani;pitane;pitahu
peckati;peckan;peckana;peckano;peckani;peckane;peckahu
