nasukati;nasukam;nasukaš;nasuka;nasukamo;nasukate;nasukaju
namjeravati;namjeravam;namjeravaš;namjerava;namjeravamo;namjeravate;namjeravaju
iskopavati;iskopavam;iskopavaš;iskopava;iskopavamo;iskopavate;iskopavaju
filati;filam;filaš;fila;filamo;filate;filaju
promuvati;promuvam;promuvaš;promuva;promuvamo;promuvate;promuvaju
ispresijecati;ispresijecam;ispresijecaš;ispresijeca;ispresijecamo;ispresijecate;ispresijecaju
folirati;foliram;foliraš;folira;foliramo;folirate;foliraju
smrskavati;smrskavam;smrskavaš;smrskava;smrskavamo;smrskavate;smrskavaju
stjerati;stjeram;stjeraš;stjera;stjeramo;stjerate;stjeraju
sprtljati;sprtljam;sprtljaš;sprtlja;sprtljamo;sprtljate;sprtljaju
parafrazirati;parafraziram;parafraziraš;parafrazira;parafraziramo;parafrazirate;parafraziraju
sagorijevati;sagorijevam;sagorijevaš;sagorijeva;sagorijevamo;sagorijevate;sagorijevaju
večerati;večeram;večeraš;večera;večeramo;večerate;večeraju
lepršati;lepršam;lepršaš;leprša;lepršamo;lepršate;lepršaju
plombirati;plombiram;plombiraš;plombira;plombiramo;plombirate;plombiraju
izvršavati;izvršavam;izvršavaš;izvršava;izvršavamo;izvršavate;izvršavaju
raščešljavati;raščešljavam;raščešljavaš;raščešljava;raščešljavamo;raščešljavate;raščešljavaju
uvažavati;uvažavam;uvažavaš;uvažava;uvažavamo;uvažavate;uvažavaju
ugledati;ugledam;ugledaš;ugleda;ugledamo;ugledate;ugledaju
pritvarati;pritvaram;pritvaraš;pritvara;pritvaramo;pritvarate;pritvaraju
grogirati;grogiram;grogiraš;grogira;grogiramo;grogirate;grogiraju
primiješati;primiješam;primiješaš;primiješa;primiješamo;primiješate;primiješaju
otkucati;otkucam;otkucaš;otkuca;otkucamo;otkucate;otkucaju
isprepadati;isprepadam;isprepadaš;isprepada;isprepadamo;isprepadate;isprepadaju
čekati;čekam;čekaš;čeka;čekamo;čekate;čekaju
prosijavati;prosijavam;prosijavaš;prosijava;prosijavamo;prosijavate;prosijavaju
talasati;talasam;talasaš;talasa;talasamo;talasate;talasaju
odigrati;odigram;odigraš;odigra;odigramo;odigrate;odigraju
rekuperirati;rekuperiram;rekuperiraš;rekuperira;rekuperiramo;rekuperirate;rekuperiraju
pjevati;pjevam;pjevaš;pjeva;pjevamo;pjevate;pjevaju
uvjeravati;uvjeravam;uvjeravaš;uvjerava;uvjeravamo;uvjeravate;uvjeravaju
izdjeljati;izdjeljam;izdjeljaš;izdjelja;izdjeljamo;izdjeljate;izdjeljaju
otkopčavati;otkopčavam;otkopčavaš;otkopčava;otkopčavamo;otkopčavate;otkopčavaju
povećati;povećam;povećaš;poveća;povećamo;povećate;povećaju
odobravati;odobravam;odobravaš;odobrava;odobravamo;odobravate;odobravaju
napipavati;napipavam;napipavaš;napipava;napipavamo;napipavate;napipavaju
srozati;srozam;srozaš;sroza;srozamo;srozate;srozaju
dovijati;dovijam;dovijaš;dovija;dovijamo;dovijate;dovijaju
promumljati;promumljam;promumljaš;promumlja;promumljamo;promumljate;promumljaju
moljakati;moljakam;moljakaš;moljaka;moljakamo;moljakate;moljakaju
ponavljati;ponavljam;ponavljaš;ponavlja;ponavljamo;ponavljate;ponavljaju
nastradati;nastradam;nastradaš;nastrada;nastradamo;nastradate;nastradaju
izjedati;izjedam;izjedaš;izjeda;izjedamo;izjedate;izjedaju
hipnotizirati;hipnotiziram;hipnotiziraš;hipnotizira;hipnotiziramo;hipnotizirate;hipnotiziraju
preveslati;preveslam;preveslaš;prevesla;preveslamo;preveslate;preveslaju
štampati;štampam;štampaš;štampa;štampamo;štampate;štampaju
otpetljati;otpetljam;otpetljaš;otpetlja;otpetljamo;otpetljate;otpetljaju
prepravljati;prepravljam;prepravljaš;prepravlja;prepravljamo;prepravljate;prepravljaju
grizuckati;grizuckam;grizuckaš;grizucka;grizuckamo;grizuckate;grizuckaju
naoružati;naoružam;naoružaš;naoruža;naoružamo;naoružate;naoružaju
pjevuckati;pjevuckam;pjevuckaš;pjevucka;pjevuckamo;pjevuckate;pjevuckaju
ilustrirati;ilustriram;ilustriraš;ilustrira;ilustriramo;ilustrirate;ilustriraju
iskidati;iskidam;iskidaš;iskida;iskidamo;iskidate;iskidaju
hvastati;hvastam;hvastaš;hvasta;hvastamo;hvastate;hvastaju
štirkati;štirkam;štirkaš;štirka;štirkamo;štirkate;štirkaju
uzmanjkati;uzmanjkam;uzmanjkaš;uzmanjka;uzmanjkamo;uzmanjkate;uzmanjkaju
promucati;promucam;promucaš;promuca;promucamo;promucate;promucaju
vriskati;vriskam;vriskaš;vriska;vriskamo;vriskate;vriskaju
uskomešati;uskomešam;uskomešaš;uskomeša;uskomešamo;uskomešate;uskomešaju
potkopati;potkopam;potkopaš;potkopa;potkopamo;potkopate;potkopaju
zapretati;zapretam;zapretaš;zapreta;zapretamo;zapretate;zapretaju
piskati;piskam;piskaš;piska;piskamo;piskate;piskaju
izvolijevati;izvolijevam;izvolijevaš;izvolijeva;izvolijevamo;izvolijevate;izvolijevaju
izrugati;izrugam;izrugaš;izruga;izrugamo;izrugate;izrugaju
odvikavati;odvikavam;odvikavaš;odvikava;odvikavamo;odvikavate;odvikavaju
zavriskati;zavriskam;zavriskaš;zavriska;zavriskamo;zavriskate;zavriskaju
spakirati;spakiram;spakiraš;spakira;spakiramo;spakirate;spakiraju
kolebati;kolebam;kolebaš;koleba;kolebamo;kolebate;kolebaju
nemati;nemam;nemaš;nema;nemamo;nemate;nemaju
pohađati;pohađam;pohađaš;pohađa;pohađamo;pohađate;pohađaju
pronjuškati;pronjuškam;pronjuškaš;pronjuška;pronjuškamo;pronjuškate;pronjuškaju
zastupati;zastupam;zastupaš;zastupa;zastupamo;zastupate;zastupaju
analizirati;analiziram;analiziraš;analizira;analiziramo;analizirate;analiziraju
podšišati;podšišam;podšišaš;podšiša;podšišamo;podšišate;podšišaju
capkati;capkam;capkaš;capka;capkamo;capkate;capkaju
navraćati;navraćam;navraćaš;navraća;navraćamo;navraćate;navraćaju
komešati;komešam;komešaš;komeša;komešamo;komešate;komešaju
progledati;progledam;progledaš;progleda;progledamo;progledate;progledaju
propisati;propisam;propisaš;propisa;propisamo;propisate;propisaju
zapažati;zapažam;zapažaš;zapaža;zapažamo;zapažate;zapažaju
pokoravati;pokoravam;pokoravaš;pokorava;pokoravamo;pokoravate;pokoravaju
preustrojavati;preustrojavam;preustrojavaš;preustrojava;preustrojavamo;preustrojavate;preustrojavaju
puntati;puntam;puntaš;punta;puntamo;puntate;puntaju
pijuckati;pijuckam;pijuckaš;pijucka;pijuckamo;pijuckate;pijuckaju
razbijati;razbijam;razbijaš;razbija;razbijamo;razbijate;razbijaju
smekšati;smekšam;smekšaš;smekša;smekšamo;smekšate;smekšaju
kontraindicirati;kontraindiciram;kontraindiciraš;kontraindicira;kontraindiciramo;kontraindicirate;kontraindiciraju
obnavljati;obnavljam;obnavljaš;obnavlja;obnavljamo;obnavljate;obnavljaju
onesposobljavati;onesposobljavam;onesposobljavaš;onesposobljava;onesposobljavamo;onesposobljavate;onesposobljavaju
istuširati;istuširam;istuširaš;istušira;istuširamo;istuširate;istuširaju
sputati;sputam;sputaš;sputa;sputamo;sputate;sputaju
prokapati;prokapam;prokapaš;prokapa;prokapamo;prokapate;prokapaju
gegati;gegam;gegaš;gega;gegamo;gegate;gegaju
promatrati;promatram;promatraš;promatra;promatramo;promatrate;promatraju
muzicirati;muziciram;muziciraš;muzicira;muziciramo;muzicirate;muziciraju
razvaljati;razvaljam;razvaljaš;razvalja;razvaljamo;razvaljate;razvaljaju
izgledati;izgledam;izgledaš;izgleda;izgledamo;izgledate;izgledaju
pripajati;pripajam;pripajaš;pripaja;pripajamo;pripajate;pripajaju
oglašavati;oglašavam;oglašavaš;oglašava;oglašavamo;oglašavate;oglašavaju
pljuskati;pljuskam;pljuskaš;pljuska;pljuskamo;pljuskate;pljuskaju
dokončati;dokončam;dokončaš;dokonča;dokončamo;dokončate;dokončaju
spremati;spremam;spremaš;sprema;spremamo;spremate;spremaju
perutati;perutam;perutaš;peruta;perutamo;perutate;perutaju
dirkati;dirkam;dirkaš;dirka;dirkamo;dirkate;dirkaju
internirati;interniram;interniraš;internira;interniramo;internirate;interniraju
improvizirati;improviziram;improviziraš;improvizira;improviziramo;improvizirate;improviziraju
polirati;poliram;poliraš;polira;poliramo;polirate;poliraju
izlupati;izlupam;izlupaš;izlupa;izlupamo;izlupate;izlupaju
emajlirati;emajliram;emajliraš;emajlira;emajliramo;emajlirate;emajliraju
koketirati;koketiram;koketiraš;koketira;koketiramo;koketirate;koketiraju
stvarati;stvaram;stvaraš;stvara;stvaramo;stvarate;stvaraju
imitirati;imitiram;imitiraš;imitira;imitiramo;imitirate;imitiraju
nalupati;nalupam;nalupaš;nalupa;nalupamo;nalupate;nalupaju
eksplodirati;eksplodiram;eksplodiraš;eksplodira;eksplodiramo;eksplodirate;eksplodiraju
prolutati;prolutam;prolutaš;proluta;prolutamo;prolutate;prolutaju
identificirati;identificiram;identificiraš;identificira;identificiramo;identificirate;identificiraju
kolaborirati;kolaboriram;kolaboriraš;kolaborira;kolaboriramo;kolaborirate;kolaboriraju
razgledati;razgledam;razgledaš;razgleda;razgledamo;razgledate;razgledaju
blistati;blistam;blistaš;blista;blistamo;blistate;blistaju
izmiksati;izmiksam;izmiksaš;izmiksa;izmiksamo;izmiksate;izmiksaju
rastjeravati;rastjeravam;rastjeravaš;rastjerava;rastjeravamo;rastjeravate;rastjeravaju
sanjati;sanjam;sanjaš;sanja;sanjamo;sanjate;sanjaju
odsanjati;odsanjam;odsanjaš;odsanja;odsanjamo;odsanjate;odsanjaju
plasirati;plasiram;plasiraš;plasira;plasiramo;plasirate;plasiraju
izmućkati;izmućkam;izmućkaš;izmućka;izmućkamo;izmućkate;izmućkaju
mitraljirati;mitraljiram;mitraljiraš;mitraljira;mitraljiramo;mitraljirate;mitraljiraju
utabati;utabam;utabaš;utaba;utabamo;utabate;utabaju
razasipati;razasipam;razasipaš;razasipa;razasipamo;razasipate;razasipaju
akceptirati;akceptiram;akceptiraš;akceptira;akceptiramo;akceptirate;akceptiraju
splašnjavati;splašnjavam;splašnjavaš;splašnjava;splašnjavamo;splašnjavate;splašnjavaju
ucrtati;ucrtam;ucrtaš;ucrta;ucrtamo;ucrtate;ucrtaju
užasavati;užasavam;užasavaš;užasava;užasavamo;užasavate;užasavaju
nabujati;nabujam;nabujaš;nabuja;nabujamo;nabujate;nabujaju
demolirati;demoliram;demoliraš;demolira;demoliramo;demolirate;demoliraju
svršavati;svršavam;svršavaš;svršava;svršavamo;svršavate;svršavaju
apsolutizirati;apsolutiziram;apsolutiziraš;apsolutizira;apsolutiziramo;apsolutizirate;apsolutiziraju
ugibati;ugibam;ugibaš;ugiba;ugibamo;ugibate;ugibaju
igrati;igram;igraš;igra;igramo;igrate;igraju
počešljati;počešljam;počešljaš;počešlja;počešljamo;počešljate;počešljaju
onemogućavati;onemogućavam;onemogućavaš;onemogućava;onemogućavamo;onemogućavate;onemogućavaju
odsijecati;odsijecam;odsijecaš;odsijeca;odsijecamo;odsijecate;odsijecaju
uplivati;uplivam;uplivaš;upliva;uplivamo;uplivate;uplivaju
sklapati;sklapam;sklapaš;sklapa;sklapamo;sklapate;sklapaju
hrskati;hrskam;hrskaš;hrska;hrskamo;hrskate;hrskaju
izgnati;izgnam;izgnaš;izgna;izgnamo;izgnate;izgnaju
protjerati;protjeram;protjeraš;protjera;protjeramo;protjerate;protjeraju
svladavati;svladavam;svladavaš;svladava;svladavamo;svladavate;svladavaju
odzvanjati;odzvanjam;odzvanjaš;odzvanja;odzvanjamo;odzvanjate;odzvanjaju
listati;listam;listaš;lista;listamo;listate;listaju
osvajati;osvajam;osvajaš;osvaja;osvajamo;osvajate;osvajaju
raspoznati;raspoznam;raspoznaš;raspozna;raspoznamo;raspoznate;raspoznaju
rasklimati;rasklimam;rasklimaš;rasklima;rasklimamo;rasklimate;rasklimaju
dočepati;dočepam;dočepaš;dočepa;dočepamo;dočepate;dočepaju
notirati;notiram;notiraš;notira;notiramo;notirate;notiraju
drmati;drmam;drmaš;drma;drmamo;drmate;drmaju
posukljati;posukljam;posukljaš;posuklja;posukljamo;posukljate;posukljaju
pregledati;pregledam;pregledaš;pregleda;pregledamo;pregledate;pregledaju
detaljizirati;detaljiziram;detaljiziraš;detaljizira;detaljiziramo;detaljizirate;detaljiziraju
probati;probam;probaš;proba;probamo;probate;probaju
preparirati;prepariram;prepariraš;preparira;prepariramo;preparirate;prepariraju
razlamati;razlamam;razlamaš;razlama;razlamamo;razlamate;razlamaju
brabonjati;brabonjam;brabonjaš;brabonja;brabonjamo;brabonjate;brabonjaju
harati;haram;haraš;hara;haramo;harate;haraju
umarati;umaram;umaraš;umara;umaramo;umarate;umaraju
osigurati;osiguram;osiguraš;osigura;osiguramo;osigurate;osiguraju
popričati;popričam;popričaš;popriča;popričamo;popričate;popričaju
eksportirati;eksportiram;eksportiraš;eksportira;eksportiramo;eksportirate;eksportiraju
branati;branam;branaš;brana;branamo;branate;branaju
pasterizirati;pasteriziram;pasteriziraš;pasterizira;pasteriziramo;pasterizirate;pasteriziraju
vješati;vješam;vješaš;vješa;vješamo;vješate;vješaju
marširati;marširam;marširaš;maršira;marširamo;marširate;marširaju
vježbati;vježbam;vježbaš;vježba;vježbamo;vježbate;vježbaju
motati;motam;motaš;mota;motamo;motate;motaju
zgražati;zgražam;zgražaš;zgraža;zgražamo;zgražate;zgražaju
ovladavati;ovladavam;ovladavaš;ovladava;ovladavamo;ovladavate;ovladavaju
pregurati;preguram;preguraš;pregura;preguramo;pregurate;preguraju
ispričati;ispričam;ispričaš;ispriča;ispričamo;ispričate;ispričaju
sjeckati;sjeckam;sjeckaš;sjecka;sjeckamo;sjeckate;sjeckaju
štrajkati;štrajkam;štrajkaš;štrajka;štrajkamo;štrajkate;štrajkaju
opravdati;opravdam;opravdaš;opravda;opravdamo;opravdate;opravdaju
jetkati;jetkam;jetkaš;jetka;jetkamo;jetkate;jetkaju
klanjati;klanjam;klanjaš;klanja;klanjamo;klanjate;klanjaju
zaribati;zaribam;zaribaš;zariba;zaribamo;zaribate;zaribaju
stropoštati;stropoštam;stropoštaš;stropošta;stropoštamo;stropoštate;stropoštaju
zlostavljati;zlostavljam;zlostavljaš;zlostavlja;zlostavljamo;zlostavljate;zlostavljaju
nastavljati;nastavljam;nastavljaš;nastavlja;nastavljamo;nastavljate;nastavljaju
zapovijedati;zapovijedam;zapovijedaš;zapovijeda;zapovijedamo;zapovijedate;zapovijedaju
nabasati;nabasam;nabasaš;nabasa;nabasamo;nabasate;nabasaju
imigrirati;imigriram;imigriraš;imigrira;imigriramo;imigrirate;imigriraju
ciljati;ciljam;ciljaš;cilja;ciljamo;ciljate;ciljaju
zaključati;zaključam;zaključaš;zaključa;zaključamo;zaključate;zaključaju
zakoturati;zakoturam;zakoturaš;zakotura;zakoturamo;zakoturate;zakoturaju
heklati;heklam;heklaš;hekla;heklamo;heklate;heklaju
svađati;svađam;svađaš;svađa;svađamo;svađate;svađaju
puncirati;punciram;punciraš;puncira;punciramo;puncirate;punciraju
rugati;rugam;rugaš;ruga;rugamo;rugate;rugaju
plisirati;plisiram;plisiraš;plisira;plisiramo;plisirate;plisiraju
prigovarati;prigovaram;prigovaraš;prigovara;prigovaramo;prigovarate;prigovaraju
ožbukati;ožbukam;ožbukaš;ožbuka;ožbukamo;ožbukate;ožbukaju
demisionirati;demisioniram;demisioniraš;demisionira;demisioniramo;demisionirate;demisioniraju
prekuhati;prekuham;prekuhaš;prekuha;prekuhamo;prekuhate;prekuhaju
poklanjati;poklanjam;poklanjaš;poklanja;poklanjamo;poklanjate;poklanjaju
subvencionirati;subvencioniram;subvencioniraš;subvencionira;subvencioniramo;subvencionirate;subvencioniraju
publicirati;publiciram;publiciraš;publicira;publiciramo;publicirate;publiciraju
doštampati;doštampam;doštampaš;doštampa;doštampamo;doštampate;doštampaju
tabati;tabam;tabaš;taba;tabamo;tabate;tabaju
dekretirati;dekretiram;dekretiraš;dekretira;dekretiramo;dekretirate;dekretiraju
moralizirati;moraliziram;moraliziraš;moralizira;moraliziramo;moralizirate;moraliziraju
omogućavati;omogućavam;omogućavaš;omogućava;omogućavamo;omogućavate;omogućavaju
prosipati;prosipam;prosipaš;prosipa;prosipamo;prosipate;prosipaju
isplivati;isplivam;isplivaš;ispliva;isplivamo;isplivate;isplivaju
protjeravati;protjeravam;protjeravaš;protjerava;protjeravamo;protjeravate;protjeravaju
suflirati;sufliram;sufliraš;suflira;sufliramo;suflirate;sufliraju
standardizirati;standardiziram;standardiziraš;standardizira;standardiziramo;standardizirate;standardiziraju
smetati;smetam;smetaš;smeta;smetamo;smetate;smetaju
tuširati;tuširam;tuširaš;tušira;tuširamo;tuširate;tuširaju
podebljati;podebljam;podebljaš;podeblja;podebljamo;podebljate;podebljaju
naravnati;naravnam;naravnaš;naravna;naravnamo;naravnate;naravnaju
ispijati;ispijam;ispijaš;ispija;ispijamo;ispijate;ispijaju
razočaravati;razočaravam;razočaravaš;razočarava;razočaravamo;razočaravate;razočaravaju
ustupati;ustupam;ustupaš;ustupa;ustupamo;ustupate;ustupaju
prebivati;prebivam;prebivaš;prebiva;prebivamo;prebivate;prebivaju
oslikavati;oslikavam;oslikavaš;oslikava;oslikavamo;oslikavate;oslikavaju
nabrajati;nabrajam;nabrajaš;nabraja;nabrajamo;nabrajate;nabrajaju
cinkati;cinkam;cinkaš;cinka;cinkamo;cinkate;cinkaju
definirati;definiram;definiraš;definira;definiramo;definirate;definiraju
napijati;napijam;napijaš;napija;napijamo;napijate;napijaju
ispucavati;ispucavam;ispucavaš;ispucava;ispucavamo;ispucavate;ispucavaju
peglati;peglam;peglaš;pegla;peglamo;peglate;peglaju
uobličavati;uobličavam;uobličavaš;uobličava;uobličavamo;uobličavate;uobličavaju
refundirati;refundiram;refundiraš;refundira;refundiramo;refundirate;refundiraju
fluktuirati;fluktuiram;fluktuiraš;fluktuira;fluktuiramo;fluktuirate;fluktuiraju
pikirati;pikiram;pikiraš;pikira;pikiramo;pikirate;pikiraju
apelirati;apeliram;apeliraš;apelira;apeliramo;apelirate;apeliraju
faulirati;fauliram;fauliraš;faulira;fauliramo;faulirate;fauliraju
odražavati;odražavam;odražavaš;odražava;odražavamo;odražavate;odražavaju
zivkati;zivkam;zivkaš;zivka;zivkamo;zivkate;zivkaju
razmotati;razmotam;razmotaš;razmota;razmotamo;razmotate;razmotaju
kolorirati;koloriram;koloriraš;kolorira;koloriramo;kolorirate;koloriraju
diskutirati;diskutiram;diskutiraš;diskutira;diskutiramo;diskutirate;diskutiraju
lijevati;lijevam;lijevaš;lijeva;lijevamo;lijevate;lijevaju
uveseljavati;uveseljavam;uveseljavaš;uveseljava;uveseljavamo;uveseljavate;uveseljavaju
krkljati;krkljam;krkljaš;krklja;krkljamo;krkljate;krkljaju
zezati;zezam;zezaš;zeza;zezamo;zezate;zezaju
glumatati;glumatam;glumataš;glumata;glumatamo;glumatate;glumataju
naljoskati;naljoskam;naljoskaš;naljoska;naljoskamo;naljoskate;naljoskaju
spjevati;spjevam;spjevaš;spjeva;spjevamo;spjevate;spjevaju
negirati;negiram;negiraš;negira;negiramo;negirate;negiraju
zvocati;zvocam;zvocaš;zvoca;zvocamo;zvocate;zvocaju
zalepršati;zalepršam;zalepršaš;zaleprša;zalepršamo;zalepršate;zalepršaju
burkati;burkam;burkaš;burka;burkamo;burkate;burkaju
kunjati;kunjam;kunjaš;kunja;kunjamo;kunjate;kunjaju
išćuškati;išćuškam;išćuškaš;išćuška;išćuškamo;išćuškate;išćuškaju
detaširati;detaširam;detaširaš;detašira;detaširamo;detaširate;detaširaju
borati;boram;boraš;bora;boramo;borate;boraju
prekopirati;prekopiram;prekopiraš;prekopira;prekopiramo;prekopirate;prekopiraju
zapadati;zapadam;zapadaš;zapada;zapadamo;zapadate;zapadaju
žgati;žgam;žgaš;žga;žgamo;žgate;žgaju
ispljuskati;ispljuskam;ispljuskaš;ispljuska;ispljuskamo;ispljuskate;ispljuskaju
špikati;špikam;špikaš;špika;špikamo;špikate;špikaju
pogađati;pogađam;pogađaš;pogađa;pogađamo;pogađate;pogađaju
zazđati;zazđam;zazđaš;zazđa;zazđamo;zazđate;zazđaju
obavijati;obavijam;obavijaš;obavija;obavijamo;obavijate;obavijaju
zaigrati;zaigram;zaigraš;zaigra;zaigramo;zaigrate;zaigraju
pulsirati;pulsiram;pulsiraš;pulsira;pulsiramo;pulsirate;pulsiraju
rašljati;rašljam;rašljaš;rašlja;rašljamo;rašljate;rašljaju
crkavati;crkavam;crkavaš;crkava;crkavamo;crkavate;crkavaju
tumbati;tumbam;tumbaš;tumba;tumbamo;tumbate;tumbaju
rintati;rintam;rintaš;rinta;rintamo;rintate;rintaju
kumulirati;kumuliram;kumuliraš;kumulira;kumuliramo;kumulirate;kumuliraju
teturati;teturam;teturaš;tetura;teturamo;teturate;teturaju
prokopavati;prokopavam;prokopavaš;prokopava;prokopavamo;prokopavate;prokopavaju
zapjenušati;zapjenušam;zapjenušaš;zapjenuša;zapjenušamo;zapjenušate;zapjenušaju
presijavati;presijavam;presijavaš;presijava;presijavamo;presijavate;presijavaju
diplomatizirati;diplomatiziram;diplomatiziraš;diplomatizira;diplomatiziramo;diplomatizirate;diplomatiziraju
ovjeravati;ovjeravam;ovjeravaš;ovjerava;ovjeravamo;ovjeravate;ovjeravaju
signirati;signiram;signiraš;signira;signiramo;signirate;signiraju
procvjetati;procvjetam;procvjetaš;procvjeta;procvjetamo;procvjetate;procvjetaju
otkoturati;otkoturam;otkoturaš;otkotura;otkoturamo;otkoturate;otkoturaju
dočitati;dočitam;dočitaš;dočita;dočitamo;dočitate;dočitaju
hitati;hitam;hitaš;hita;hitamo;hitate;hitaju
kefati;kefam;kefaš;kefa;kefamo;kefate;kefaju
šepesati;šepesam;šepesaš;šepesa;šepesamo;šepesate;šepesaju
brbljati;brbljam;brbljaš;brblja;brbljamo;brbljate;brbljaju
zapjevati;zapjevam;zapjevaš;zapjeva;zapjevamo;zapjevate;zapjevaju
lipsati;lipsam;lipsaš;lipsa;lipsamo;lipsate;lipsaju
sanirati;saniram;saniraš;sanira;saniramo;sanirate;saniraju
šikanirati;šikaniram;šikaniraš;šikanira;šikaniramo;šikanirate;šikaniraju
denotirati;denotiram;denotiraš;denotira;denotiramo;denotirate;denotiraju
zakopati;zakopam;zakopaš;zakopa;zakopamo;zakopate;zakopaju
cizelirati;cizeliram;cizeliraš;cizelira;cizeliramo;cizelirate;cizeliraju
podrazumijevati;podrazumijevam;podrazumijevaš;podrazumijeva;podrazumijevamo;podrazumijevate;podrazumijevaju
manjkati;manjkam;manjkaš;manjka;manjkamo;manjkate;manjkaju
oponirati;oponiram;oponiraš;oponira;oponiramo;oponirate;oponiraju
deranžirati;deranžiram;deranžiraš;deranžira;deranžiramo;deranžirate;deranžiraju
probijati;probijam;probijaš;probija;probijamo;probijate;probijaju
ukucati;ukucam;ukucaš;ukuca;ukucamo;ukucate;ukucaju
gibati;gibam;gibaš;giba;gibamo;gibate;gibaju
zavaljati;zavaljam;zavaljaš;zavalja;zavaljamo;zavaljate;zavaljaju
pregledavati;pregledavam;pregledavaš;pregledava;pregledavamo;pregledavate;pregledavaju
iskopati;iskopam;iskopaš;iskopa;iskopamo;iskopate;iskopaju
pridobivati;pridobivam;pridobivaš;pridobiva;pridobivamo;pridobivate;pridobivaju
zibati;zibam;zibaš;ziba;zibamo;zibate;zibaju
kolacionirati;kolacioniram;kolacioniraš;kolacionira;kolacioniramo;kolacionirate;kolacioniraju
bankrotirati;bankrotiram;bankrotiraš;bankrotira;bankrotiramo;bankrotirate;bankrotiraju
demilitarizirati;demilitariziram;demilitariziraš;demilitarizira;demilitariziramo;demilitarizirate;demilitariziraju
preferirati;preferiram;preferiraš;preferira;preferiramo;preferirate;preferiraju
zavaravati;zavaravam;zavaravaš;zavarava;zavaravamo;zavaravate;zavaravaju
okoštati;okoštam;okoštaš;okošta;okoštamo;okoštate;okoštaju
konstruirati;konstruiram;konstruiraš;konstruira;konstruiramo;konstruirate;konstruiraju
polemizirati;polemiziram;polemiziraš;polemizira;polemiziramo;polemizirate;polemiziraju
otpuštati;otpuštam;otpuštaš;otpušta;otpuštamo;otpuštate;otpuštaju
napucati;napucam;napucaš;napuca;napucamo;napucate;napucaju
okupljati;okupljam;okupljaš;okuplja;okupljamo;okupljate;okupljaju
okaljati;okaljam;okaljaš;okalja;okaljamo;okaljate;okaljaju
zbrajati;zbrajam;zbrajaš;zbraja;zbrajamo;zbrajate;zbrajaju
mljackati;mljackam;mljackaš;mljacka;mljackamo;mljackate;mljackaju
zablejati;zablejam;zablejaš;zableja;zablejamo;zablejate;zablejaju
pohati;poham;pohaš;poha;pohamo;pohate;pohaju
opažati;opažam;opažaš;opaža;opažamo;opažate;opažaju
sastavljati;sastavljam;sastavljaš;sastavlja;sastavljamo;sastavljate;sastavljaju
ispolitizirati;ispolitiziram;ispolitiziraš;ispolitizira;ispolitiziramo;ispolitizirate;ispolitiziraju
prokopati;prokopam;prokopaš;prokopa;prokopamo;prokopate;prokopaju
uzburkavati;uzburkavam;uzburkavaš;uzburkava;uzburkavamo;uzburkavate;uzburkavaju
tikati;tikam;tikaš;tika;tikamo;tikate;tikaju
nakupljati;nakupljam;nakupljaš;nakuplja;nakupljamo;nakupljate;nakupljaju
rekapitulirati;rekapituliram;rekapituliraš;rekapitulira;rekapituliramo;rekapitulirate;rekapituliraju
zatvarati;zatvaram;zatvaraš;zatvara;zatvaramo;zatvarate;zatvaraju
kompromitirati;kompromitiram;kompromitiraš;kompromitira;kompromitiramo;kompromitirate;kompromitiraju
ozidati;ozidam;ozidaš;ozida;ozidamo;ozidate;ozidaju
opčarati;opčaram;opčaraš;opčara;opčaramo;opčarate;opčaraju
zvrjati;zvrjam;zvrjaš;zvrja;zvrjamo;zvrjate;zvrjaju
zaklapati;zaklapam;zaklapaš;zaklapa;zaklapamo;zaklapate;zaklapaju
proganjati;proganjam;proganjaš;proganja;proganjamo;proganjate;proganjaju
rivati;rivam;rivaš;riva;rivamo;rivate;rivaju
zabasati;zabasam;zabasaš;zabasa;zabasamo;zabasate;zabasaju
zbijati;zbijam;zbijaš;zbija;zbijamo;zbijate;zbijaju
čavzljati;čavzljam;čavzljaš;čavzlja;čavzljamo;čavzljate;čavzljaju
zidati;zidam;zidaš;zida;zidamo;zidate;zidaju
zakopčati;zakopčam;zakopčaš;zakopča;zakopčamo;zakopčate;zakopčaju
priznati;priznam;priznaš;prizna;priznamo;priznate;priznaju
ekspandirati;ekspandiram;ekspandiraš;ekspandira;ekspandiramo;ekspandirate;ekspandiraju
tuckati;tuckam;tuckaš;tucka;tuckamo;tuckate;tuckaju
nakrcavati;nakrcavam;nakrcavaš;nakrcava;nakrcavamo;nakrcavate;nakrcavaju
penalizirati;penaliziram;penaliziraš;penalizira;penaliziramo;penalizirate;penaliziraju
popravljati;popravljam;popravljaš;popravlja;popravljamo;popravljate;popravljaju
sporazumijevati;sporazumijevam;sporazumijevaš;sporazumijeva;sporazumijevamo;sporazumijevate;sporazumijevaju
kenjkati;kenjkam;kenjkaš;kenjka;kenjkamo;kenjkate;kenjkaju
pričati;pričam;pričaš;priča;pričamo;pričate;pričaju
balzamirati;balzamiram;balzamiraš;balzamira;balzamiramo;balzamirate;balzamiraju
ventilirati;ventiliram;ventiliraš;ventilira;ventiliramo;ventilirate;ventiliraju
probadati;probadam;probadaš;probada;probadamo;probadate;probadaju
skljokati;skljokam;skljokaš;skljoka;skljokamo;skljokate;skljokaju
