glagoli  |  top2     
glumovati: jem, am
prožizati: em, am
truniti: im, jem
raskuhati: am, im
nadjačavati: am, im
rekompenzirati: am, im
gumirati: am, em
podlivati: am, jem
zvrdnuti: em, im
bleknuti: em, im
briketirati: am, em
ulučivati: jem, am
obručati: im, am
ražestiti: im, jem
proćutjeti: im, jem
cesarovati: jem, am
proćerdavati: am, jem
izviniti: im, jem
kopčavati: am, im
pjevucnuti: em, im
podvrtati: em, am
pluralizirati: am, im
prokopnjeti: im, em
ištrcavati: am, im
nadsvoditi: im, am
uglibiti: im, jem
besjeđivati: jem, am
magarčivati: am, jem
zvonariti: im, jem
brojavati: am, jem
domnijevati: am, em
raskravljivati: jem, am
zabrujiti: im, jem
govarati: am, im
dohuktati: am, em
hajcati: am, im
raskrečivati: jem, am
mošćivati: jem, am
precjenjivati: jem, em
unovčiti: im, am
vrćivati: jem, am
dekomprimirati: am, im
bušavati: am, em
naroditi: im, am
salomiti: im, jem
karabasati: am, im
poisplatiti: im, jem
alegirati: am, em
ključavati: am, im
snimavati: am, im
zašteđivati: jem, am
uzbijati: am, em
sustajati: jem, im
stipulirati: am, em
skrušiti: im, am
disimilirati: am, em
zbubati: am, em
štrihati: am, im
okorišćivati: jem, am
navodniti: im, jem
izviždavati: jem, am
prišapnuti: em, im
zakardašiti: im, jem
uzgajati: am, jem
okoravati: am, jem
reprintirati: am, em
kemijati: im, am
jedinjivati: am, im
uljuljavati: am, jem
rasplitati: em, am
odrapati: am, im
frizirati: am, em
raspištoljiti: im, jem
otočiti: im, jem
pošumljavati: am, jem
ikavizirati: am, im
prokrkljati: am, jem
rasukati: em, am
trežnjivati: jem, im
srećivati: jem, am
otarasivati: jem, am
utočniti: im, am
zadupsti: em, jem
bunkerirati: am, im
doorati: am, em
mršavjeti: im, am
učetverostručiti: im, jem
domiti: im, ijem
labavljivati: jem, am
drhtjeti: im, em
iskosati: am, im
toboljivati: jem, am
izbalegati: am, em
operjati: am, im
puzati: em, am
ukonačiti: im, am
prisrati: em, am
bliještati: im, am
izmasakrirati: am, em
zagroktati: em, im
zamazivati: jem, am
halakati: em, am
lakšati: am, em
izlizivati: jem, am
omutaviti: im, am
preslušati: am, im
stradavati: am, jem
rastjerivati: jem, am
izolučiti: im, jem
učahuriti: jem, im
razmrdavati: am, jem
precijepiti: im, jem
rasijavati: am, jem
brknuti: em, jem
uigrati: am, im
kljastiti: im, jem
razljetiti: im, ijem
umudrivati: am, jem
iskinuti: em, jem
ekscitirati: am, im
smračiti: im, am
ugatati: am, em
etablirati: am, im
nadgovoriti: im, am
naskitati: am, em
zaturati: am, em
otpučati: im, am
koćivati: jem, em
obretati: em, am
pozoravati: am, jem
pečaćivati: jem, am
projašnjivati: jem, am
bolijevati: am, em
bogetati: am, em
ugljiti: im, ijem
spješiti: im, am
sanjivati: jem, em
sekularizirati: am, im
raskrvavljivati: jem, am
natisnuti: em, im
prišunjati: am, jem
grubiti: im, am
pohitjeti: im, jem
napromašivati: jem, am
ispreturiti: im, jem
zjevuckati: am, im
zabražđivati: jem, am
sasjeći: em, im
presjeći: em, im
precijediti: im, am
zaklokotati: em, am
zastiđivati: jem, am
omicati: em, am
štivati: am, em
doplesti: em, jem
odježđivati: jem, am
šiljbočiti: im, am
zaljućivati: jem, am
trilirati: am, em
preglumiti: im, jem
brojiti: im, jem
komešivati: jem, am
preseljavati: am, jem
zagipsivati: am, jem
braditi: im, am
dizajnirati: am, em
šaputati: am, em
dosladiti: im, jem
svještavati: am, im
straćiti: im, jem
ustostručiti: im, jem
vrštavati: am, im
oplovljivati: jem, am
rejtingirati: am, em
raznizivati: am, jem
cvrljivati: jem, am
skenirati: am, em
šiljivati: jem, am
frkavati: am, im
uditi: im, am
sizati: am, em
parbiti: am, im
razdešavati: am, im
srebrivati: jem, am
gibnuti: em, im
kraćivati: jem, am
nakačivati: jem, am
bređavati: am, jem
ramljivati: jem, am
poisjeći: em, im
vrstavati: am, im
upljesniviti: im, jem
demonizirati: am, im
mrzovoljiti: im, jem
ćapati: am, em
prodikati: am, em
ušmrkavati: am, im
topkati: am, em
vrebnuti: em, im
indoktrinirati: am, im
zračivati: jem, am
pograbljati: am, jem
uzvjetropiriti: im, jem
ugnjesti: em, jem
konverzirati: am, im
denominirati: am, im
isheriti: im, jem
domigoljiti: im, ijem
poumrijeti: im, am
slijetati: em, am
vjesiti: im, am
smrznuti: em, im
ciktati: em, am
supstantivirati: am, im
zacapkati: am, em
kadencirati: am, em
raskrinkavati: am, im
dosoptavati: am, im
prečitati: am, im
uplovljavati: am, jem
privređivati: jem, am
vijestiti: im, jem
pretući: em, jem
zapakovati: am, jem
prisviriti: im, jem
rasplamtjeti: im, am
umisliti: im, em
izlajati: am, jem
iščiljeti: im, jem
hlepiti: jem, im
razračunati: am, im
ukokavati: am, im
šnjofati: am, em
pomađariti: im, jem
pincirati: am, em
luksuzirati: am, im
demitologizirati: am, im
planjivati: jem, em
podjetinjivati: jem, em
pokojivati: jem, am
pošuriti: im, am
provjetriti: im, am
adaptirati: am, em
samooplakati: am, em
dokvalificirati: am, im
sopćivati: jem, am
antilogaritmirati: am, im
salamuriti: im, am
istucati: am, im
reparirati: am, em
poisprevrtati: am, em
raskopavati: am, im
umućivati: jem, am
zamuljivati: jem, am
alimentirati: am, em
dosoptati: am, im
intenzivirati: am, em
zaposjesti: em, jem
zgušnjivati: jem, em
ulaštiti: im, am
propijati: am, em
infotati: am, em
čvrstiti: im, jem
remizirati: am, em
emancipirati: am, im
čikati: am, em
iskajati: jem, am
ispišavati: am, im
rašalatati: am, em
probarabiti: im, am
doumljivati: jem, am
većati: am, em
bogaljivati: jem, am
zaštektati: am, em
pudrati: am, em
zabiberiti: im, am
kapavati: am, im
mramorirati: am, im
prosjeći: em, im
nagariti: im, am
napakirati: am, em
oplavjeti: im, am
otipkavati: am, im
gušnjavati: am, jem
sjemenjivati: jem, am
dotiskivati: am, jem
tematizirati: am, em
rutnuti: em, im
hitravati: am, jem
nakostrešivati: jem, am
proključati: am, im
vojšćivati: jem, am
čerečiti: im, jem
prostrijeti: em, im
učavati: am, im
potuljivati: jem, am
strtljati: im, am
uticati: em, am
raseljavati: am, jem
otkrhnjivati: em, jem
prevalirati: am, em
vukljati: am, im
poblanjati: am, jem
poiskriviti: im, am
prepapriti: im, am
antagonizirati: am, im
tamburavati: am, jem
primisliti: im, em
punjivati: jem, em
pobranati: am, em
tjeravati: am, im
prispijevati: am, jem
decimirati: am, em
piškiti: im, ijem
makadamizirati: am, em
odlubiti: im, jem
gornjati: am, jem
povrvjeti: im, em
akvirirati: am, im
družiti: im, jem
zadesiti: im, em
ishvaliti: im, em
abadati: am, em
lišćivati: jem, am
stući: em, jem
užeći: em, am
mrčkati: am, im
preprječivati: jem, am
narogušivati: am, jem
packavati: am, im
sputavati: am, im
unesrećiti: im, jem
dreždati: im, am
seksati: am, im
reprezentirati: am, em
privirivati: jem, am
kotizirati: am, em
posrkati: em, am
posuvremeniti: im, jem
jaraniti: im, jem
omađijavati: jem, am
zakokodakati: am, em
oštrivati: jem, am
dušivati: jem, am
falcati: am, im
inačivati: jem, am
auskultirati: am, im
istrjebljivati: jem, am
hlapjeti: im, jem
ročivati: am, jem
zaslađivati: jem, am
strći: em, jem
popizditi: im, am
priginjati: am, jem
zajapurivati: jem, am
doseliti: im, em
sodomizirati: am, im
gustiti: im, jem
razdjenuti: em, im
klobučiti: im, am
nasekirati: am, em
zvektati: am, em
orožavjeti: im, am
erotizirati: am, em
obraćivati: jem, am
satanizirati: am, em
backati: am, im
plašćivati: jem, am
progorijevati: am, jem
žnjeti: im, am
paljetkovati: jem, am
zelenašiti: im, jem
frigati: am, em
suglasivati: jem, am
izrojiti: im, jem
uljuškivati: jem, am
bljutaviti: im, am
pripjevati: am, em
štektati: am, em
pasionirati: am, em
prodrijemati: am, im
izdiferencirati: am, em
premiti: im, ijem
shvati: am, jem
obgrljivati: jem, am
podmicati: em, am
orožavati: am, im
omaljivati: jem, am
hlapljivati: jem, am
jatiti: im, jem
podmladivati: jem, am
đusnuti: em, im
zarositi: im, am
pretapati: am, im
mjeničariti: im, am
vlačiti: im, jem
usjesti: em, jem
otklečati: im, jem
rastrljavati: am, jem
šmignuti: em, im
iznojavati: am, jem
surađivati: jem, am
monetizirati: am, em
sloniti: im, jem
stopliti: im, jem
povoditi: im, am
polediti: im, jem
preudavati: am, jem
usađivati: jem, am
objeljivati: jem, am
zamrzivati: jem, am
ukrasivati: am, jem
natrabunjati: am, jem
jektati: em, am
podavijati: am, em
ispohati: em, am
razmrviti: im, am
suvremeniti: im, jem
ćivrikati: am, em
ređivati: jem, am
raskupusati: am, em
potaracati: am, im
vrijeti: em, im
ljubakati: em, im
kučiti: im, am
nadijevati: am, jem
zacurivati: am, jem
razblažiti: im, em
prepakovati: am, jem
procurivati: jem, am
pahati: em, am
zagaditi: im, jem
ablendati: am, im
izvjetravati: am, jem
razbadrivati: jem, am
izblijediti: im, am
ražariti: im, am
smantati: am, em
plemeniti: im, jem
zacičati: im, am
nakivati: jem, am
stočariti: im, jem
frakati: am, em
kipljivati: jem, am
upeti: em, im
propješačiti: im, jem
izljepljivati: jem, am
podsijavati: am, jem
sjati: im, am
državiti: im, am
grubljivati: jem, am
raskuhavati: am, im
svjetljivati: jem, am
pretočiti: im, jem
zdvojiti: im, jem
presijati: ijem, am
zabordižati: am, im
dojedriti: im, jem
gratificirati: am, im
smrsivati: jem, am
zahuknuti: em, im
kaucirati: am, im
zabraditi: im, am
prištiti: im, ijem
asignirati: am, im
nasijecati: am, im
razobručiti: im, jem
uslišivati: jem, am
afiširati: am, im
prošaravati: am, im
ubrazditi: im, am
svježavati: am, im
izgrickati: am, im
raspretavati: am, im
priviknuti: em, im
dekonstruirati: am, im
upečivati: jem, am
zazibati: am, em
junačiti: im, am
raskuštravati: am, jem
krčivati: jem, am
cirkusirati: am, im
zaprječivati: jem, am
izdraviti: im, am
pognječiti: im, jem
gruhnuti: em, im
doklipsati: em, am
odvikivati: jem, am
revelirati: am, em
dostati: em, am
izolučivati: jem, am
promeškoljiti: im, jem
užagoriti: im, jem
otiskati: am, em
abluirati: am, jem
nakesiti: im, am
izdevetati: em, am
raskriliti: im, jem
vređivati: jem, am
deformirati: am, im
kušnuti: em, im
sfrkati: em, am
naškrabati: am, im
poodrasti: em, jem
obdarivati: jem, am
oprljiti: im, ijem
trackati: am, im
pljošćivati: jem, am
ritmizirati: am, im
praćakati: am, em
isprekrajati: am, jem
probesjeđivati: jem, am
hrsknuti: em, im
zabrađivati: jem, am
koćariti: im, jem
zagubljivati: jem, am
ispraskati: am, em
uokvirivati: jem, am
ovaplotiti: im, jem
habavati: am, jem
blagorođavati: am, jem
zgasnuti: em, im
primjerivati: jem, am
ugljivati: jem, am
prisoliti: im, jem
četvorivati: jem, am
introjicirati: am, em
bantovati: jem, im
pličivati: jem, am
obnaživati: jem, am
cupnuti: em, im
prolabirati: am, im
učiteljevati: jem, am
predodređivati: jem, am
zaštićivati: jem, am
uspaničiti: im, am
nuđivati: jem, am
ostudenjeti: im, em
raznesti: em, jem
zavrijediti: im, am
odučavati: am, im
poženiti: im, jem
grknuti: em, im
strići: em, im
magliti: im, jem
posiviti: im, jem
otkrhnuti: em, im
gramatikalizirati: am, em
muzgati: am, em
injicirati: am, em
deregulirati: am, im
blesavjeti: im, jem
cjepnuti: em, im
klasirati: am, em
sprljivati: jem, am
opredjeljivati: jem, am
ambijentalizirati: am, im
pretrzati: em, im
zakvakati: em, am
podraživati: jem, am
nakazivati: jem, am
dvajati: jem, em
piknikovati: jem, am
božavati: am, im
gunđavati: am, jem
provršljavati: am, jem
istutnjivati: jem, am
viražirati: am, em
alterirati: am, em
prhati: em, am
skucavati: am, im
dopijevati: am, jem
škampariti: im, am
razleći: em, im
proskitati: am, em
kljoknuti: em, im
grabusivati: am, jem
detalijanizirati: em, am
natpjevavati: am, im
oždrebljivati: jem, am
zakolačivati: jem, am
naglašivati: jem, am
remilitarizirati: am, im
ustašovati: jem, am
balavjeti: im, am
dogurnuti: em, im
obezobrazivati: am, jem
moćati: am, em
natrućavati: am, jem
instruirati: am, im
ovlaživati: am, jem
razbjeći: em, im
cvrljiti: im, ijem
razgrijati: em, am
ujedinjivati: am, im
obescjenjivati: jem, em
dezenirati: am, em
sagledavati: am, jem
okućivati: jem, am
boljeti: im, em
cupkivati: jem, am
katalogizirati: am, im
istinjavati: am, jem
orljavati: am, jem
pritjecati: im, am
zakoprcati: am, em
pličiti: im, jem
grcavati: am, em
ambijentirati: am, im
ponicati: em, am
rošivati: am, jem
sramoćivati: jem, em
poopćivati: jem, am
zaodjenuti: em, im
otplavljivati: jem, am
evangelizirati: am, im
metalizirati: am, em
otkositi: im, am
napiliti: ijem, im
prepakirati: am, em
preostati: em, am
posjeći: em, im
deoksidirati: am, im
mognuti: em, im
dokasati: am, em
rehidrirati: am, im
mandrljati: am, im
leksikalizirati: am, im
požutiti: im, am
litografirati: am, im
zasjednuti: em, im
fulati: am, jem
alarmirati: am, im
pokađivati: jem, am
kanalizirati: am, em
šamponirati: am, em
ubauljati: am, im
čegrtati: em, im
preobraziti: im, jem
preuranjivati: am, jem
folklorizirati: am, im
usvijetliti: im, em
dokoličariti: im, am
šmrktati: em, am
ovještati: am, im
pilotirati: am, em
čepurati: am, em
odaprati: em, am
bridirati: am, im
razbješnjavati: am, jem
revocirati: am, im
ispoklanjati: am, jem
pročuti: jem, em
saopćavati: am, jem
zatrudnjivati: em, jem
rastrgati: am, im
zabazdjeti: im, jem
životvoravati: am, im
izdignuti: em, im
istrežnjivati: jem, im
bremeniti: im, jem
otperjavati: am, jem
izrađati: am, em
usoljavati: am, jem
prahnuti: em, im
presvlačiti: im, jem
ovjekovječavati: am, im
čvariti: im, jem
intačiti: im, jem
pristojiti: im, jem
naduvati: am, jem
dobrovoljiti: im, jem
rendomizirati: am, im
propraćivati: jem, am
ruminirati: am, em
probuđivati: jem, am
sličiti: im, jem
kiseliti: im, em
gušati: am, im
prirašćivati: jem, am
igumaniti: im, jem
uškopljivati: jem, am
mnažati: am, em
mjeravati: am, jem
međivati: jem, am
krpavati: am, im
trpnuti: em, im
ježđivati: jem, am
klješćivati: jem, am
ziđivati: jem, am
pretplatiti: im, ijem
orunjaviti: im, jem
opčinjivati: jem, em
odrinuti: em, im
grizati: am, em
lamati: am, jem
preodgojiti: im, jem
matirati: am, em
tankirati: am, em
devalvirati: am, im
raščinjavati: am, jem
dopunjati: am, jem
kopnjavati: am, jem
odčitavati: am, im
umljivati: jem, am
metličati: im, am
makljati: am, jem
uranjivati: jem, am
revolucionirati: im, am
zazujiti: im, jem
ofrljiti: im, ijem
ražešćivati: jem, am
statuirati: am, em
čačnuti: em, im
isklasavati: am, jem
bariti: im, am
drepati: am, im
ušeprtljavati: jem, am
dočitavati: am, im
palamuditi: im, am
jeckati: am, im
dezaktivirati: am, im
orumenjeti: im, jem
feminizirati: am, im
pajiti: im, jem
osoljavati: am, jem
persiflirati: am, im
nadopisivati: jem, am
nacijepiti: im, jem
crvenjeti: im, jem
kasapiti: im, jem
manipulirati: am, em
omlitavjeti: im, am
grličati: am, em
izoravati: am, jem
konkretizirati: am, im
provjetrivati: am, jem
čehnuti: em, jem
implicirati: am, im
omudriti: im, jem
uzmanjkavati: am, im
izobičajiti: im, jem
šatriti: im, am
škiljnuti: em, im
kopkati: am, em
općivati: jem, am
utapati: am, im
zluradovati: jem, am
čobaniti: im, jem
blesaviti: im, jem
svjetoviti: im, am
reskati: am, em
zamahati: em, am
strijeliti: im, em
kaducirati: am, im
slojivati: jem, am
zabijeliti: im, em
odguditi: im, am
društvoviti: im, am
dopletati: em, am
zakliještiti: im, em
poskakivati: jem, am
kilavljivati: jem, am
konsultirati: am, im
islamiti: im, jem
izlistavati: am, im
mnijevati: am, em
nagnječiti: im, am
odrapljivati: jem, am
podebljavati: am, jem
umjerivati: jem, am
prematati: am, em
opteći: em, im
ugušivati: jem, am
zamijaukati: em, im
metaforizirati: am, im
prošvercati: am, im
pobljeđivati: jem, am
đorati: am, em
prikačivati: jem, am
otoboljivati: jem, am
gošćivati: jem, am
umusti: em, jem
odsedlati: am, em
obljepljivati: jem, am
pribilježivati: jem, em
svrbljivati: jem, am
dezinformirati: am, im
ogranuti: em, im
otplinjavati: am, jem
matrikulirati: am, im
proključavati: am, im
prešaltati: am, em
zavjeravati: am, jem
carivati: am, jem
karburirati: am, im
skvrčiti: im, am
brnčati: am, im
minorizirati: am, im
tipkavati: am, im
hrdavati: am, jem
zapljuskati: am, em
šljamčiti: im, am
podjarmljivati: jem, am
doplaziti: im, em
prepući: em, jem
rastelaliti: im, jem
ogađivati: jem, am
pobrašniti: im, em
društvovljivati: jem, am
kubati: am, em
zagnojavati: am, jem
ujednačivati: am, jem
krivljavati: am, jem
natiskati: am, em
škuriti: im, am
frondirati: am, em
priključiti: im, am
podbuniti: im, jem
džakati: am, im
kačivati: jem, am
prčivati: jem, am
ručati: im, jem
sezati: em, im
kukurijeknuti: em, im
pozeleniti: im, jem
zadječačiti: im, jem
mucavati: am, im
prljivati: jem, am
usidriti: im, am
zirnuti: em, im
taliti: im, em
zviždavati: jem, am
putati: am, em
oživotvoravati: am, im
razrivati: jem, am
stjeravati: am, jem
mrknuti: em, im
predvajati: am, jem
međašiti: im, jem
tociljati: am, im
zameziti: im, em
defenestrirati: am, em
eksproprirati: am, im
probiti: im, am
prevoziti: im, jem
otkulučiti: im, jem
šuperiti: im, jem
inventirati: am, im
rasezati: em, im
iskasapljivati: jem, am
vrnuti: em, im
šutkivati: jem, am
šepaviti: im, am
zavrljačiti: im, am
umekšavati: am, im
utišavati: am, im
galonirati: am, im
prejahati: em, jem
snoviđati: am, im
zacijukati: em, im
omrčiti: im, am
vozikati: am, im
anatomizirati: am, im
tlačivati: jem, am
udobrovoljivati: jem, am
zamomčiti: im, am
zastrti: em, jem
razvagati: em, am
pogoniti: im, jem
smijavati: am, jem
parnuti: em, im
protrljavati: am, jem
denivelirati: am, em
najebavati: am, jem
toliti: im, jem
zakorlatiti: im, am
muzirati: am, em
prosjeđivati: jem, am
izbrojati: im, am
smućkati: am, im
prenapučiti: am, jem
mjerkati: am, jem
šibičariti: im, jem
deblokirati: am, im
kraljevati: jem, am
zamočiti: im, am
zagrozivati: am, jem
vlašćivati: jem, am
močivati: jem, am
soliti: im, jem
žicnuti: em, im
krcnuti: em, im
odbrujiti: im, jem
keljivati: jem, am
ourizirati: am, im
hrupljivati: jem, am
potkati: am, em
povrijediti: im, am
mjerivati: jem, am
urašćivati: jem, am
frankirati: am, em
nakopirati: am, em
počovječiti: im, am
preudešavati: am, im
posvjetoviti: im, jem
pripijati: am, jem
ogrizati: am, em
vagonirati: am, im
zuvati: am, jem
fosforescirati: am, im
iskompleksirati: am, im
učašivati: jem, am
interkalirati: am, im
skriti: ijem, im
pogužvati: am, im
sučeliti: im, jem
uklapati: am, im
dijevati: am, jem
obrušivati: am, jem
podgrizati: am, em
slamati: am, jem
uzdavati: jem, am
istrpavati: am, im
ušutati: am, em
rentirati: am, em
nadrljavati: am, jem
nijetiti: im, am
milozvučiti: im, jem
ijekaviti: im, am
kopitavati: am, im
nadgrađivati: jem, am
pripjevavati: am, im
pridići: em, im
njuškavati: am, im
udaljivati: jem, am
suvraćivati: jem, am
zadrndati: am, im
pogovoriti: im, am
kašljati: jem, am
rasušivati: jem, am
spetljavati: am, jem
prevladavati: am, em
sročiti: im, am
zabrinjavati: am, jem
napučivati: jem, am
okvačiti: im, jem
torokati: em, am
zasunjivati: jem, em
oknjiživati: jem, am
sipavati: am, im
oćelavjeti: im, am
žurivati: jem, am
gražati: am, jem
kamuflirati: am, im
autorizirati: am, im
braviti: im, am
zatopljivati: jem, am
pougljenjivati: jem, am
domunđati: am, em
onerediti: im, am
podgovarati: am, im
flambirati: am, im
pritaći: em, jem
privolijevati: am, em
iskašljivati: jem, am
rasprskavati: am, im
požarčiti: im, am
prenapuniti: em, jem
uguziti: im, jem
švigati: am, em
šemerivati: jem, am
gaćivati: jem, am
nadovezivati: jem, am
pregladnjeti: im, jem
doučavati: am, im
žvaljivati: jem, am
biciklirati: am, em
zamaknuti: em, im
docukati: am, im
potkraćivati: jem, am
dokoraknuti: em, im
pucnuti: em, im
utaći: em, jem
strignuti: em, im
mrsivati: jem, am
džogirati: am, im
sititi: im, am
jadovati: jem, am
jalaknuti: em, im
mafijašiti: im, em
učađavjeti: im, am
arlakati: am, em
naplavljivati: jem, am
brljavati: am, jem
oteščati: am, im
izmiljivati: jem, am
raslojiti: im, jem
otprti: em, jem
ministrovati: jem, am
kušavati: am, im
paštiti: im, am
čerupati: am, im
rabotati: am, im
prokukurijekati: em, am
služivati: jem, am
zabljesnjivati: jem, em
čarnuti: em, im
šupljivati: jem, am
zjati: ijem, am
naklizati: em, am
raskapati: am, im
upriličiti: im, jem
restati: em, am
uslišati: am, em
brutalizirati: am, im
vojštiti: im, am
žvepliti: im, em
projedati: am, im
polućivati: jem, am
tarokirati: am, em
kljuckati: am, im
oplinuti: em, jem
ispetljati: am, im
denacionalizirati: am, im
preslađivati: jem, am
ubrajati: am, jem
orljati: am, em
unesrećivati: jem, am
odglasovati: jem, im
jačiti: im, jem
singularizirati: am, im
iskobeljavati: am, jem
pribirati: am, em
podbrađivati: jem, am
profetizirati: am, em
rašiti: im, ijem
upucavati: am, em
običajiti: im, jem
uziđivati: jem, am
spijevati: am, jem
prouzrokovati: jem, am
mogućivati: jem, am
niklati: jem, am
plahnjivati: jem, am
ujarmljivati: jem, am
preprćivati: jem, am
crvati: am, im
proturati: am, im
jamičati: im, am
sjedinjivati: im, am
ublažavati: am, im
ohromiti: im, am
pretrčati: im, jem
suobličivati: jem, am
ukaljavati: am, jem
prepolovljivati: jem, am
opamećivati: jem, am
nasjeći: em, im
poživotinjivati: jem, em
salaziti: im, em
kristalizirati: am, im
osvježivati: jem, em
polučivati: jem, am
glušivati: jem, am
vladiti: im, jem
prišteđivati: jem, am
rašetati: am, em
tvrdnjivati: jem, em
ustavljati: am, em
nalutati: am, em
skopčavati: am, im
razmeđivati: jem, am
suknuti: em, im
šuriti: im, am
izraubati: am, em
turivati: jem, am
egotizirati: am, em
zaularivati: jem, am
šćućuriti: im, jem
okresivati: jem, am
otromboljivati: jem, am
progaljivati: jem, am
gruvavati: am, im
predstojati: im, am
pripiti: ijem, im
ustaljivati: jem, am
obalavljivati: jem, am
požvakati: em, am
otpovijedati: am, im
ubrađivati: jem, am
leleknuti: em, im
izmijesiti: im, em
zacviliti: im, jem
orošavati: am, im
sipkati: am, em
strujavati: am, jem
uskočiti: im, am
dotjeravati: am, jem
prešiti: im, ijem
učestvovati: jem, im
utišati: am, em
opličiti: im, jem
projurivati: jem, am
sidriti: im, jem
poguriti: im, jem
pohititi: im, jem
renderirati: am, em
dobrovoljivati: jem, am
domljivati: jem, am
odrvati: am, jem
recipirati: am, em
razbujati: am, jem
izdurati: am, em
kadmirati: am, em
posuvraćivati: jem, am
sekati: am, em
zdrvenjivati: jem, am
otakati: em, am
navezivati: jem, am
mirati: em, am
utopiti: im, jem
parloživati: jem, em
krupnjivati: jem, am
prikeljivati: jem, am
nadskočiti: im, am
prosušivati: jem, am
oblizniti: im, em
junačivati: jem, am
mješivati: jem, am
oljigavljivati: jem, am
čađaviti: im, am
podrljati: am, em
gotavljati: am, em
uramljivati: jem, am
pripetavati: am, im
sumporati: am, im
osijecati: am, em
poimeničiti: im, am
učvršćivati: jem, am
presamititi: im, jem
proglodati: am, em
zasmrđivati: jem, am
zalumpati: am, im
odskakutati: em, am
izmamiti: im, jem
pinčiti: im, am
fraternalizirati: am, im
dokapitalizirati: im, am
vedrivati: am, jem
grohnuti: em, jem
zaobliti: ijem, im
zaguditi: im, am
prđivati: jem, am
nakvasivati: jem, am
sraštati: am, im
žmariti: im, jem
razgaziti: im, jem
uzhjetati: im, am
iskombinirati: am, im
repiti: im, jem
alergizirati: am, im
podlijegati: em, im
potpečiti: im, jem
zbiljavati: am, jem
ćaskavati: am, im
izguziti: im, jem
štogljivati: am, jem
okrvljivati: jem, am
ojeseniti: im, am
isprakticirati: am, em
adoptirati: am, em
sjahati: em, jem
sosivati: jem, em
šminkati: am, em
raznositi: im, am
saživjeti: im, em
iskijati: am, jem
bunjivati: jem, am
supotpisati: em, am
razglavljivati: jem, am
pripijevati: am, jem
razgoropađivati: am, jem
razlokati: em, am
halogenirati: am, im
mediti: im, am
dozirati: am, em
ovršavati: am, im
titrirati: am, im
uzmoći: em, jem
blesariti: im, jem
opričavati: am, im
razobličivati: jem, am
prokuljavati: am, jem
odvabljivati: jem, am
prejedati: am, im
pritrčavati: am, im
prekopčavati: am, im
musati: am, im
popisati: em, am
izventavati: am, im
dorađivati: jem, am
razmazivati: jem, am
rovašiti: im, jem
transformirati: am, im
uzdrmavati: am, im
pregrađivati: jem, am
slijevati: am, em
pospješivati: jem, am
raspojasavati: am, jem
skončati: am, im
raznježiti: im, jem
otkivati: jem, am
pronevjeravati: am, jem
ljenjivati: jem, em
najahivati: jem, am
topliti: im, em
zafijuknuti: em, im
pooštravati: am, jem
predozirati: am, em
naštimavati: am, im
zaokrugljivati: jem, am
naklečati: im, jem
žurbati: am, im
topljavati: am, jem
otromiti: im, am
disimulirati: am, im
užutiti: im, am
stješnjivati: jem, im
zdavati: jem, am
drkati: am, em
zahrzati: am, em
naviljčiti: im, jem
porazdavati: am, jem
zguljivati: jem, am
kamatiti: im, jem
trućati: am, em
kaišati: am, im
razvoziti: im, jem
džariti: im, am
životvoriti: im, am
prohtijevati: am, jem
išepesati: am, em
odbroditi: im, am
većavati: jem, am
životinjivati: jem, em
svijestiti: im, jem
zašparati: am, im
razjapiti: im, jem
preračunavati: am, jem
rasaditi: im, am
vračati: am, im
sibilarizirati: am, im
koalirati: am, im
posvršavati: am, im
prerazdjeljivati: jem, am
ćuškavati: am, im
goljeti: im, jem
bucavati: am, im
uspijati: am, em
beštimavati: am, im
kartirati: am, em
nabokati: am, em
nadvoziti: im, jem
razvažati: am, em
snizivati: jem, am
šetkati: am, em
gurivati: am, jem
potkrjepljivati: jem, am
zakratiti: im, am
otpovrnuti: em, im
uzrignuti: em, im
nakajati: jem, am
topovati: jem, am
hlađivati: jem, am
razuzdavati: jem, am
korzirati: am, im
djeti: im, em
preinačiti: im, ijem
sipati: am, im
ulubljivati: jem, am
oziđivati: jem, am
prekršivati: jem, am
silažirati: am, im
prosuzivati: am, jem
okljaštrivati: jem, am
podaprijeti: em, im
svrći: em, jem
iscurivati: jem, am
raštimavati: am, im
preslušavati: am, im
uarčiti: im, am
realizirati: am, em
obreći: em, im
stužiti: im, jem
razgolatati: am, em
pokliknuti: em, im
siktati: am, em
napakošćivati: am, jem
gelirati: am, im
šančiti: im, am
treskivati: jem, am
pougljivati: jem, am
pičkarati: am, im
lecati: am, em
natpjevati: am, jem
skockavati: am, im
zakrmeljati: am, em
ledirati: am, em
strpavati: am, im
uklopiti: im, jem
podvostručavati: am, im
pražnjivati: jem, am
nadletjeti: im, ijem
fasetirati: am, em
noriti: im, am
razbješnjeti: im, jem
upadati: am, em
buriti: im, am
doučiti: im, jem
izvratiti: im, am
dobauljati: am, em
priupitivati: jem, am
štavljivati: am, jem
rakamati: am, jem
rogušivati: am, jem
djeljati: am, jem
kupirati: am, em
promucavati: am, im
japajakati: am, em
ispoljavati: am, jem
zaoctiti: im, jem
pobenavljivati: jem, am
osvjetlavati: am, jem
rupčati: am, em
spjeti: ijem, im
bilježivati: jem, em
zakrvavljivati: jem, am
docirati: am, im
izlisičiti: im, am
prenemoći: em, jem
spresti: em, ijem
evolvirati: am, im
duvati: am, jem
angažirati: am, im
uimati: am, jem
