abdiciram,abdicirati
izopćujem,izopćivati
izorem,izorati
izostajem,izostajati
izostanem,izostati
izostavim,izostaviti
izostavljam,izostavljati
izoštravam,izoštravati
izoštrim,izoštriti
izrabim,izrabiti
izrabljujem,izrabljivati
izračunam,izračunati
izračunavam,izračunavati
izradim,izraditi
izrađujem,izrađivati
izranim,izraniti
izranjam,izranjati
izrastam,izrastati
izrastem,izrasti
izravnam,izravnati
izravnavam,izravnavati
izrazim,izraziti
izražavam,izražavati
izrečem,izreći
izredam,izredati
izrečem,izreći
izreknem,izreći
izrešetam,izrešetati
izrezbarim,izrezbariti
izrežem,izrezati
izribam,izribati
izričem,izricati
izrigam,izrigati
izritam,izritati
izrodim,izroditi
izronim,izroniti
izručim,izručiti
izručujem,izručivati
izrugam,izrugati
izrugujem,izrugivati
izrujem,izrovati
izučavam,izučavati
izučim,izučiti
izudaram,izudarati
izujem,izuti
izumijem,izumjeti
izumim,izumiti
izumirem,izumirati
izumrem,izumrijeti
izustim,izustiti
izuvam,izuvati
izuzimam,izuzimati
izuzmem,izuzeti
izvadim,izvaditi
izvalim,izvaliti
izvaljujem,izvaljivati
izvaram,izvarati
izvažem,izvagati
izvedem,izvesti
izvezem,izvesti
izvičem,izvikati
izviđam,izviđati
izvijam,izvijati
izvijem,izviti
izvijestim,izvijestiti
izvikujem,izvikivati
izvinem,izvinuti
izvirem,izvirati
izviždam,izviždati
izvjesim,izvjesiti
izvješćujem,izvješćivati
izvještavam,izvještavati
izvještim,izvještiti
izvjetrim,izvjetriti
izvlačim,izvlačiti
izvlastim,izvlastiti
izvodim,izvoditi
izvojujem,izvojevati
izvolijevam,izvolijevati
izvolim,izvoljeti
izvozim,izvoziti
izvrćem,izvrtati
izvrgnem,izvrći
izvrijeđam,izvrijeđati
izvrnem,izvrnuti
izvršavam,izvršavati
izvršim,izvršiti
izvrtim,izvztjeti
izvučem,izvući
iživim,iživjeti
iživljavam,iživljavati
ižmičem,ižmikati
ižvačem,ižvakati
jačam,jačati
jadam,jadati
jadikujem,jadikovati
jalovim,jaloviti
jamčim,jamčiti
jamram,jamrati
janjim,janjiti
jarim,jariti
jarmim,jarmiti
jašem,jahati
jašim,jašiti
jaučem,jaukati
javim,javiti
javljam,javljati
jecam,jecati
jecnem,jecnuti
ječim,ječati
jedem,jesti
jedim,jediti
jednačim,jednačiti
jedrim,jedriti
jeknem,jeknuti
jenjam,jenjati
jenjavam,jenjavati
jetkam,jetkati
jezdim,jezditi
ježim,ježiti
ježurim,ježuriti
jogunim,joguniti
jurcam,jurcati
jurim,juriti
jurišam,jurišati
jurnem,jurnuti
jutrim,jutriti
južim,južiti
kačim,kačiti
kadim,kaditi
kajem,kajati
kalam,kalati
kalemim,kalemiti
kalim,kaliti
kalkuliram,kalkulirati
kalupim,kalupiti
kaljam,kaljati
kaljužam,kaljužati
kamčim,kamčiti
kamenujem,kamenovati
kampiram,kampirati
kandidiram,kandidirati
kanim,kaniti
kapam,kapati
kapkam,kapkati
karakteriziram,karakterizirati
karam,karati
karikiram,karikirati
kartam,kartati
kasam,kasati
kaskam,kaskati
kasnim,kasniti
kastriram,kastrirati
kašljucam,kašljucati
kategoriziram,kategorizirati
katranim,katraniti
katraniziram,katranizirati
kaznim,kazniti
kazujem,kazivati
kažem,kazati
kažnjavam,kažnjavati
kefam,kefati
keljim,keljiti
kenjkam,kenjkati
kesim,kesiti
kidam,kidati
kidnapiram,kidnapirati
kidnem,kidnuti
kihnem,kihnuti
kikoćem,hihotati
kilavim,kilaviti
kimam,kimati
kimnem,kimnuti
kinjim,kinjiti
kipim,kipjeti
kiptim,kiptjeti
kisnem,kisnuti
kišem,kihati
kišim,kišiti
kitim,kititi
kladim,kladiti
klafram,klafrati
klanjam,klanjati
klapam,klapati
klasam,klasati
klecam,klecati
klečim,klečati
kleknem,kleknuti
klepam,klepati
klepećem,klepetati
klešem,klesati
klevećem,klevetati
kličem,klicati
klijam,klijati
klikćem,kliktati
kliknem,kliknuti
klimam,klimati
klipšem,klipsati
klisnem,klisnuti
klistiram,klistirati
klizim,kliziti
kliznem,kliznuti
kližem,klizati
klokoćem,klokotati
klonem,klonuti
klonim,kloniti
kloniram,klonirati
klopoćem,klopotati
kljucam,kljucati
ključam,ključati
kljujem,kljuvati
kljukam,kljukati
knjižim,knjižiti
kobeljam,kobeljati
kockam,kockati
kočim,kočiti
kočoperim,kočoperiti
kodificiram,kodificirati
kodiram,kodirati
koketiram,koketirati
kolabiram,kolabirati
kolaboriram,kolaborirati
kolacioniram,kolacionirati
kolam,kolati
kolebam,kolebati
kolektiviziram,kolektivizirati
kolidiram,kolidirati
koloriram,kolorirati
kolutam,kolutati
koljem,klati
komadam,komadati
komandiram,komandirati
kombiniram,kombinirati
komemoriram,komemorirati
komentiram,komentirati
komercijaliziram,komercijalizirati
komešam,komešati
kompariram,komparirati
kompenziram,kompenzirati
kompiliram,kompilirati
kompletiram,kompletirati
kompliciram,komplicirati
komponiram,komponirati
kompromitiram,kompromitirati
komuniciram,komunicirati
konačim,konačiti
koncentriram,koncentrirati
konceptualiziram,konceptualizirati
koncipiram,koncipirati
kondenziram,kondenzirati
konfiniram,konfinirati
konkuriram,konkurirati
konstatiram,konstatirati
konstituiram,konstituirati
konstruiram,konstruirati
kontaktiram,kontaktirati
kontaminiram,kontaminirati
kontempliram,kontemplirati
kontraindiciram,kontraindicirati
kontribuiram,kontribuirati
kontroliram,kontrolirati
konzerviram,konzervirati
konzultiram,konzultirati
konzumiram,konzumirati
kooptiram,kooptirati
koordiniram,koordinirati
kopam,kopati
kopiram,kopirati
kopnim,kopnjeti
koprcam,koprcati
koracam,koracati
koračam,koračati
koračim,koračati
koraknem,koraknuti
korespondiram,korespondirati
koričim,koričiti
korigiram,korigirati
korim,koriti
koristim,koristiti
korodiram,korodirati
korumpiram,korumpirati
kosam,kosati
kosim,kositi
kosnem,kosnuti
kostriješim,kostriješiti
koštam,koštati
kotim,kotiti
kotiram,kotirati
kotrljam,kotrljati
koturam,koturati
kovrčam,kovzčati
kradem,krasti
krampam,krampati
krasim,krasiti
kratim,kratiti
kravim,kraviti
krcam,krcati
krckam,krckati
krčim,krčiti
krečim,krečiti
krećem,kretati
kreiram,kreirati
krekećem,kreketati
krenem,krenuti
krepam,krepati
krepavam,krepavati
kresnem,kresnuti
krešem,kresati
kreštim,kreštati
kreveljim,kreveljiti
kričim,kričati
krijem,kriti
kriještim,kriještati
krijumčarim,krijumčariti
kriknem,kriknuti
kritiziram,kritizirati
krivim,kriviti
krivotvorim,krivotvoriti
krivudam,krivudati
krivuljam,krivuljati
križam,križati
krkljam,krkljati
krnjim,krnjiti
kroatiziram,kroatizirati
kročim,kročiti
krojim,krojiti
kromiram,kromirati
krotim,krotiti
krpam,krpati
krparim,krpariti
krpim,krpiti
krstarim,krstariti
krstim,kzstiti
kršim,kzšiti
krunim,kruniti
krupnim,krupnjeti
kružim,kružiti
krvarim,krvariti
krvavim,krvaviti
krvim,krviti
krzam,krzati
krzmam,krzmati
kržljavim,kržljaviti
kuburim,kuburiti
kucam,kucati
kuckam,kuckati
kucnem,kucnuti
kućim,kućiti
kudim,kuditi
kuham,kuhati
kujem,kovati
kukam,kukati
kukičam,kukičati
kukuričem,kukurikati
kulminiram,kulminirati
kultiviram,kultivirati
kulučim,kulučiti
kuljam,kuljati
kumim,kumiti
kumujem,kumovati
kumuliram,kumulirati
kunem,kleti
kunjam,kunjati
kupam,kupati
kupim,kupiti
kupujem,kupovati
kurblam,kurblati
kusam,kusati
kušam,kušati
kužim,kužiti
kvačim,kvačiti
kvalificiram,kvalificirati
kvarim,kvariti
kvasim,kvasiti
kvrcam,kvrcati
kvrcnem,kvrcnuti
kvrčim,kvrčiti
laćam,laćati
lagumam,lagumati
lajam,lajati
lajem,lajati
lakiram,lakirati
laknem,laknuti
lakomim,lakomiti
lamatam,lamatati
lamentiram,lamentirati
landram,landrati
lanem,lanuti
lansiram,lansirati
lapćem,laptati
larmam,larmati
laskam,laskati
laštim,laštiti
latim,latiti
laviram,lavirati
lazim,laziti
lažem,lagati
lažiram,lažirati
lebdim,lebdjeti
lecnem,lecnuti
ledim,lediti
legaliziram,legalizirati
legitimiram,legitimirati
legnem,leći
lektoriram,lektorirati
lelečem,lelekati
lelujam,lelujati
lemam,lemati
lemim,lemiti
lepećem,lepetati
lepršam,lepršati
letim,letjeti
ležem,leći
ležim,ležati
liberaliziram,liberalizirati
libim,libiti
licitiram,licitirati
lickam,lickati
ličim,ličiti
lifram,lifrati
lihvarim,lihvariti
liječim,liječiti
lijem,liti
lijepim,lijepiti
lijevam,lijevati
liježem,lijegati
likujem,likovati
likvidiram,likvidirati
limitiram,limitirati
linčujem,linčovati
linjam,linjati
lipćem,liptati
lipsam,lipsati
lipšem,lipsati
listam,listati
lišavam,lišavati
lišim,lišiti
liznem,liznuti
ližem,lizati
lociram,locirati
ločem,lokati
logorujem,logorovati
lokaliziram,lokalizirati
lomim,lomiti
loptam,loptati
lovim,loviti
ložim,ložiti
lučim,lučiti
lumpam,lumpati
lumpujem,lumpovati
lunjam,lunjati
lupam,lupati
lupetam,lupetati
lupim,lupiti
lupkam,lupkati
lupnem,lupnuti
lutam,lutati
lužim,lužiti
ljenčarim,ljenčariti
ljeskam,ljeskati
ljetujem,ljetovati
ljubim,ljubiti
ljuljam,ljuljati
ljuljuškam,ljuljuškati
ljuštim,ljuštiti
ljutim,ljutiti
ljutnem,ljutnuti
mačujem,mačevati
magistriram,magistrirati
magnetiziram,magnetizirati
mahnem,mahnuti
mahnitam,mahnitati
majoriziram,majorizirati
maknem,maći
malaksavam,malaksavati
maltretiram,maltretirati
mamim,mamiti
mamuzam,mamuzati
mandalim,mandaliti
manevriram,manevrirati
mantam,mantati
manjkam,manjkati
marim,mariti
markiram,markirati
marširam,marširati
maskiram,maskirati
mastim,mastiti
mašem,mahati
mašim,mašiti
maštam,maštati
mazim,maziti
maznem,maznuti
mažem,mazati
mećem,metati
meditiram,meditirati
mekećem,meketati
mekšam,mekšati
melioriram,meliorirati
meljem,mljeti
memoriram,memorirati
mešetarim,mešetariti
meškoljim,meškoljiti
metem,mesti
metnem,metnuti
mezetim,mezetiti
mežuram,mežurati
mičem,micati
migam,migati
mignem,mignuti
migoljim,migoljiti
mijem,miti
mijenjam,mijenjati
mijesim,mijesiti
miješam,miješati
miksam,miksati
milim,miljeti
milujem,milovati
mimoiđem,mimoići
mimoilazim,mimoilaziti
minem,minuti
minimiziram,minimizirati
miniram,minirati
ministriram,ministrirati
mirim,miriti
mirišem,mirisati
mirujem,mirovati
mislim,misliti
mistificiram,mistificirati
mitarim,mitariti
mitim,mititi
mitraljiram,mitraljirati
mjerim,mjeriti
mlataram,mlatarati
mlatim,mlatiti
mljackam,mljackati
mljaskam,mljackati
mnijem,mniti
množim,množiti
mobiliziram,mobilizirati
močim,močiti
modeliram,modelirati
moderiram,moderirati
modrim,modriti
moduliram,modulirati
mognem,moći
mogu,moći
mokrim,mokriti
molestiram,molestirati
molim,moliti
moljakam,moljakati
monopoliziram,monopolizirati
moraliziram,moralizirati
moram,morati
morim,moriti
mostim,mostiti
motam,motati
motrim,motriti
mozgam,mozgati
mračim,mračiti
mrazim,mraziti
mrcvarim,mrcvariti
mrčim,mrčiti
mrdnem,mrdnuti
mrem,mrijeti
mreškam,mreškati
mrgodim,mzgoditi
mrijestim,mrijestiti
mrknem,mrći
mrljam,mrljati
mrmljam,mzmljati
mrmorim,mrmoriti
mrsim,mrsiti
mrštim,mzštiti
mrvim,mrviti
mrzim,mrziti
mrznem,mrznuti
mucam,mucati
mučim,mučiti
mućkam,mućkati
mudrujem,mudrovati
muljam,muljati
mumljam,mumljati
munđam,munđati
munem,munuti
muštram,muštrati
mutim,mutiti
mutiram,mutirati
muvam,muvati
muzem,musti
muziciram,muzicirati
nabacam,nabacati
nabacim,nabaciti
nabacujem,nabacivati
nabadam,nabadati
nabajam,nabajati
nabasam,nabasati
nabavim,nabaviti
nabavljam,nabavljati
naberem,nabrati
nabijam,nabijati
nabijem,nabiti
nabirem,nabirati
nabodem,nabosti
naboram,naborati
nabrajam,nabrajati
nabreknem,nabreknuti
nabrojim,nabrojiti
nabrusim,nabrusiti
nabubam,nabubati
nabubrim,nabubriti
nabujam,nabujati
nacerim,naceriti
nacijedim,nacijediti
nacijepam,nacijepati
naciljam,naciljati
nacionaliziram,nacionalizirati
nacrtam,nacrtati
nacugam,nacugati
načekam,načekati
načičkam,načičkati
načinim,načiniti
načinjam,načinjati
načnem,načeti
načudim,načuditi
načujem,načuti
naćulim,naćuliti
nadahnem,nadahnuti
nadahnjujem,nadahnjivati
nadam,nadati
nadarim,nadariti
nadglasam,nadglasati
nadglasavam,nadglasavati
nadgledam,nadgledati
nadgradim,nadgraditi
nadiđem,nadići
nadignem,nadići
nadigram,nadigrati
nadilazim,nadilaziti
nadimam,nadimati
nadirem,nadirati
nadižem,nadizati
nadjačam,nadjačati
nadjenem,nadjenuti
nadlijećem,nadlijetati
nadmašim,nadmašiti
nadmašujem,nadmašivati
nadmećem,nadmetati
nadmem,naduti
nadmudrim,nadmudriti
nadmudrujem,nadmudrivati
nadnesem,nadnijeti
nadodam,nadodati
nadodavam,nadodavati
nadođem,nadoći
nadogradim,nadograditi
nadojim,nadojiti
nadoknadim,nadoknaditi
nadoknađujem,nadoknađivati
nadolazim,nadolaziti
nadolijevam,nadolijevati
nadomećem,nadometati
nadometnem,nadometnuti
nadomjestim,nadomjestiti
nadomještam,nadomještati
nadoplatim,nadoplatiti
nadopunim,nadopuniti
nadopunjavam,nadopunjavati
nadovežem,nadovezati
nadrapam,nadrapati
nadražim,nadražiti
nadražujem,nadraživati
nadredim,nadrediti
nadrljam,nadrljati
nadrobim,nadrobiti
nadurim,naduriti
nadvičem,nadvikati
nadvijem,nadviti
nadvikujem,nadvikivati
nadvisim,nadvisiti
nadvisujem,nadvisivati
nadvladam,nadvladati
nadziram,nadzirati
nadzirem,nadzirati
nadživim,nadživjeti
nađem,naći
nađinđam,nađinđati
nagađam,nagađati
naganjam,naganjati
nagazim,nagaziti
nagibam,nagibati
naginjem,naginjati
naglasim,naglasiti
naglašavam,naglašavati
naglim,nagliti
nagnam,nagnati
nagnem,nagnuti
nagodim,nagoditi
nagomilam,nagomilati
nagomilavam,nagomilavati
nagonim,nagoniti
nagorim,nagorjeti
nagovaram,nagovarati
nagovijestim,nagovijestiti
nagovješćujem,nagovješćivati
nagovještavam,nagovještavati
nagovorim,nagovoriti
nagrabim,nagrabiti
nagrabljam,nagrabljati
nagradim,nagraditi
nagrađujem,nagrađivati
nagrćem,nagrtati
nagrdim,nagrditi
nagrđujem,nagrđivati
nagrizem,nagristi
nagruvam,nagruvati
naguram,nagurati
naguravam,naguravati
naherim,naheriti
nahodam,nahodati
nahodim,nahoditi
nahranim,nahraniti
nahrupim,nahrupiti
nahrupljujem,nahrupljivati
nahuškam,nahuškati
nahvatam,nahvatati
naiđem,naići
naigram,naigrati
nailazim,nailaziti
najašem,najahati
najašim,najašiti
najavim,najaviti
najavljujem,najavljivati
najedem,najesti
najetkam,najetkati
naježim,naježiti
najmim,najmiti
najurim,najuriti
nakačim,nakačiti
nakanim,nakaniti
nakapam,nakapati
nakašljem,nakašljati
nakinđurim,nakinđuriti
nakitim,nakititi
naklapam,naklapati
naklonim,nakloniti
nakosim,nakositi
nakostriješim,nakostriješiti
nakrcam,nakzcati
nakrcavam,nakrcavati
nakrenem,nakrenuti
nakrešem,nakresati
nakrivim,nakriviti
nakupim,nakupiti
nakupljam,nakupljati
nalazim,nalaziti
nalažem,nalagati
nalegnem,naleći
naletim,naletjeti
nalijem,naliti
nalijepim,nalijepiti
nalijevam,nalijevati
naliježem,nalijegati
nalikujem,nalikovati
naločem,nalokati
naložim,naložiti
nalupam,nalupati
naljepljujem,naljepljivati
naljoskam,naljoskati
naljutim,naljutiti
namačem,namakati
namagarčim,namagarčiti
namaknem,namaknuti
namamim,namamiti
namamljujem,namamljivati
namažem,namazati
namečim,namečiti
namećem,nametati
nameljem,namljeti
nametnem,nametnuti
namičem,namicati
namignem,namignuti
namigujem,namigivati
namijenim,namijeniti
namirim,namiriti
namirišem,namirisati
namirujem,namirivati
namjenjujem,namjenjivati
namjeravam,namjeravati
namjerim,namjeriti
namjestim,namjestiti
namještam,namještati
namlatim,namlatiti
namnožim,namnožiti
namočim,namočiti
namotam,namotati
namotavam,namotavati
namrem,namrijeti
namreškam,namreškati
namrgodim,namrgoditi
namrštim,namrštiti
namrvim,namrviti
namučim,namučiti
nanesem,nanijeti
nanišanim,nanišaniti
nanižem,nanizati
nanosim,nanositi
nanjušim,nanjušiti
naoblačim,naoblačiti
naobrazim,naobraziti
naobražavam,naobražavati
naoružam,naoružati
naoštrim,naoštriti
napadam,napadati
napadnem,napasti
napajam,napajati
napakostim,napakostiti
napasem,napasti
napastujem,napastovati
napatim,napatiti
naperim,naperiti
napijam,napijati
napijem,napiti
napinjem,napinjati
napipam,napipati
napipavam,napipavati
napišem,napisati
naplaćujem,naplaćivati
naplatim,naplatiti
naplavim,naplaviti
napljačkam,napljačkati
napnem,napeti
napojim,napojiti
napomenem,napomenuti
napominjem,napominjati
napravim,napraviti
napredujem,napredovati
napregnem,napregnuti
naprežem,naprezati
napričam,napričati
naprsnem,naprsnuti
naprtim,naprtiti
napucam,napucati
napučim,napučiti
napuhavam,napuhavati
napuhnem,napuhnuti
napuhujem,napuhivati
napumpam,napumpati
napunim,napuniti
napustim,napustiti
napušem,napuhati
napuštam,napuštati
naputim,naputiti
naradim,naraditi
narastam,narastati
narastem,narasti
naravnam,naravnati
naredim,narediti
naređujem,naređivati
narežem,narezati
naribam,naribati
naričem,naricati
narihtam,narihtati
narinem,narinuti
narišem,narisati
narogušim,narogušiti
naručim,naručiti
naručujem,naručivati
narugam,narugati
narumenim,narumeniti
narušavam,narušavati
narušim,narušiti
naružim,naružiti
nasadim,nasaditi
nasađujem,nasađivati
nasamarim,nasamariti
naselim,naseliti
naseljavam,naseljavati
nasipam,nasipati
nasjeckam,nasjeckati
nasjednem,nasjesti
nasladim,nasladiti
naslađujem,naslađivati
naslanjam,naslanjati
naslažem,naslagati
naslijedim,naslijediti
naslikam,naslikati
naslonim,nasloniti
naslovim,nasloviti
naslućujem,naslućivati
naslušam,naslušati
naslutim,naslutiti
nasljedujem,nasljedovati
nasljeđujem,nasljeđivati
nasmijavam,nasmijavati
nasmijem,nasmijati
nasmiješim,nasmiješiti
naspavam,naspavati
naspem,nasuti
nasrćem,nasrtati
nasrnem,nasrnuti
nastajem,nastajati
nastanem,nastati
nastanim,nastaniti
nastanjujem,nastanjivati
nastavam,nastavati
nastavim,nastaviti
nastavljam,nastavljati
nastojim,nastojati
nastradam,nastradati
nastrijelim,nastrijeliti
nastupam,nastupati
nastupim,nastupiti
nasukam,nasukati
našalim,našaliti
naškodim,naškoditi
našminkam,našminkati
naštelam,naštelati
naštetim,naštetiti
naštimam,naštimati
našušurim,našušuriti
natačem,natakati
nataknem,nataknuti
nataložim,nataložiti
natapam,natapati
natarem,natrti
nategnem,nategnuti
natekem,nateći
natežem,natezati
natječem,natjecati
natjeram,natjerati
natjeravam,natjeravati
natkrijem,natkriti
natkrilim,natkriliti
natmurim,natmuriti
natočim,natočiti
natopim,natopiti
natovarim,natovariti
natrčim,natrčati
natrem,natrti
natreskam,natreskati
natrljam,natrljati
natrpam,natrpati
natrpavam,natrpavati
natucam,natucati
natučem,natući
natuknem,natuknuti
naturaliziram,naturalizirati
naturim,naturiti
naučavam,naučavati
naučim,naučiti
naudim,nauditi
naumim,naumiti
naužijem,naužiti
naužim,naužiti
nauživam,nauživati
navabim,navabiti
navalim,navaliti
navaljujem,navaljivati
navedem,navesti
navezem,navesti
navijam,navijati
navijem,naviti
navijestim,navijestiti
naviještam,naviještati
navikavam,navikavati
naviknem,naviknuti
navinem,navinuti
navirem,navirati
navješćujem,navješćivati
navlačim,navlačiti
navlažim,navlažiti
navodim,navoditi
navodnjavam,navodnjavati
navraćam,navraćati
navratim,navratiti
navrem,navrijeti
navršavam,navršavati
navršim,navršiti
navučem,navući
nazadujem,nazadovati
nazdravim,nazdraviti
nazebem,nazepsti
nazirem,nazirati
nazivam,nazivati
naznačim,naznačiti
naznačujem,naznačivati
nazovem,nazvati
nazrem,nazreti
nazujem,nazuti
nažderem,nažderati
naživim,naživjeti
nažuljam,nažuljati
nećkam,nećkati
neću,htjeti
neću,nehtjeti
neću,htjeti
nedostajem,nedostajati
negiram,negirati
negodujem,negodovati
nemam,nemati
nerviram,nervirati
nestajem,nestajati
nestanem,nestati
neutraliziram,neutralizirati
ničem,nicati
niječem,nijekati
nijesam,biti
niknem,niknuti
nisam,biti
nižem,nizati
nominiram,nominirati
normiram,normirati
nosam,nosati
nosim,nositi
notiram,notirati
novačim,novačiti
nudim,nuditi
nukam,nukati
nutkam,nutkati
njačem,njakati
njegujem,njegovati
njišem,njihati
njištim,njištati
njušim,njušiti
njuškam,njuškati
obalim,obaliti
obaljujem,obaljivati
obamrem,obamrijeti
obaram,obarati
obasipam,obasipati
obasižem,obasizati
obasjam,obasjati
obasjavam,obasjavati
obaspem,obasuti
obavežem,obavezati
obavijam,obavijati
obavijem,obaviti
obavijestim,obavijestiti
obavim,obaviti
obavješćujem,obavješćivati
obavještavam,obavještavati
obavljam,obavljati
obaziram,obazirati
obazirem,obazirati
obazrem,obazreti
obdarim,obdariti
obećajem,obećavati
obećam,obećati
obećavam,obećavati
oberem,obrati
obeshrabrim,obeshrabriti
obeshrabrujem,obeshrabrivati
obeskličim,obeskličiti
obesnažim,obesnažiti
obespravim,obespraviti
obeštećujem,obeštećivati
obeštetim,obeštetiti
obezglavim,obezglaviti
obezobrazim,obezobraziti
obezvređujem,obezvređivati
obezvrijedim,obezvrijediti
obgrlim,obgrliti
običavam,običavati
obiđem,obići
obigravam,obigravati
obijam,obijati
obijem,obiti
obilazim,obilaziti
obilujem,obilovati
obilježavam,obilježavati
obilježim,obilježiti
obilježujem,obilježivati
obirem,obirati
obistinim,obistiniti
obitavam,obitavati
objasnim,objasniti
objašnjavam,objašnjavati
objavim,objaviti
objavljujem,objavljivati
objedinim,objediniti
objedinjavam,objedinjavati
objedujem,objedovati
objelodanim,objelodaniti
objelodanjujem,objelodanjivati
objesim,objesiti
oblačim,oblačiti
oblažem,oblagati
obletim,obletjeti
oblijećem,oblijetati
oblijem,obliti
oblijepim,oblijepiti
oblikujem,oblikovati
obliznem,obliznuti
obližem,oblizati
obložim,obložiti
obljubim,obljubiti
obljutavim,obljutaviti
obmanem,obmanuti
obmanjujem,obmanjivati
obnašam,obnašati
obnavljam,obnavljati
obnovim,obnoviti
obodrim,obodriti
obodrujem,obodrivati
obogaćujem,obogaćivati
obogatim,obogatiti
obojim,obojiti
obolim,oboljeti
oborim,oboriti
oboružam,oboružati
obožavam,obožavati
obračunam,obračunati
obračunavam,obračunavati
obraćam,obraćati
obradim,obraditi
obradujem,obradovati
obranim,obraniti
obratim,obratiti
obrazlažem,obrazlagati
obrazložim,obrazložiti
obrazujem,obrazovati
obrćem,obrtati
obrecnem,obrecnuti
obredam,obredati
obrežem,obrezati
obrijem,obrijati
obrišem,obrisati
obrlatim,obrlatiti
obrnem,obrnuti
obrubim,obrubiti
obrubljujem,obrubljivati
obrušavam,obrušavati
obrušim,obrušiti
obučavam,obučavati
obučem,obući
obučim,obučiti
obuhvaćam,obuhvaćati
obuhvatim,obuhvatiti
obujem,obuti
obujmim,obujmiti
obujmljujem,obujmljivati
obustavim,obustaviti
obustavljam,obustavljati
obuzdam,obuzdati
obuzdavam,obuzdavati
obuzimam,obuzimati
obuzmem,obuzeti
obvezujem,obvezivati
obvežem,obvezati
obzidam,obzidati
obznanim,obznaniti
obznanjujem,obznanjivati
ocarinim,ocariniti
ocijedim,ocijediti
ocijenim,ocijeniti
ocjenjujem,ocjenjivati
ocrnim,ocrniti
ocrnjivam,ocrnjivati
ocrnjujem,ocrnjivati
ocrtam,ocrtati
ocrtavam,ocrtavati
ocvatem,ocvasti
ocvjetam,ocvjetati
očajavam,očajavati
očaram,očarati
očaravam,očaravati
očekujem,očekivati
očeličim,očeličiti
očerupam,očerupati
očešem,očešati
očetkam,očetkati
očijukam,očijukati
očistim,očistiti
očitam,očitati
očitavam,očitavati
očitujem,očitovati
očupam,očupati
očuvam,očuvati
očvrsnem,očvrsnuti
oćelavim,oćelaviti
oćutim,oćutjeti
odaberem,odabrati
odabirem,odabirati
odagnam,odagnati
odahnem,odahnuti
odajem,odavati
odalamim,odalamiti
odalečim,odalečiti
odam,odati
odapinjem,odapinjati
odapnem,odapeti
odašaljem,odaslati
odašiljam,odašiljati
odazivam,odazivati
odazovem,odazvati
odbacim,odbaciti
odbacujem,odbacivati
odbijam,odbijati
odbijem,odbiti
odbrojim,odbrojiti
odbrusim,odbrusiti
odebljam,odebljati
odem,otići
oderem,oderati
odgađam,odgađati
odgajam,odgajati
odgegam,odgegati
odglumim,odglumiti
odgodim,odgoditi
odgojim,odgojiti
odgonetnem,odgonetnuti
odgovaram,odgovarati
odgovorim,odgovoriti
odgrćem,odgrtati
odgrizem,odgristi
odgulim,odguliti
odguram,odgurati
odgurnem,odgurnuti
odgurujem,odgurivati
odigram,odigrati
odigravam,odigravati
odijelim,odijeliti
odijevam,odijevati
odišem,odisati
odjašem,odjahati
odjavim,odjaviti
odjavljujem,odjavljivati
odjedrim,odjedriti
odjeknem,odjeknuti
odjekujem,odjekivati
odjeljujem,odjeljivati
odjenem,odjenuti
odjurim,odjuriti
odlanem,odlaknuti
odlazim,odlaziti
odlažem,odlagati
odledim,odlediti
odlepršam,odlepršati
odletim,odletjeti
odležim,odležati
odlijećem,odlijetati
odlijem,odliti
odlijepim,odlijepiti
odlijevam,odlijevati
odlikujem,odlikovati
odlomim,odlomiti
odložim,odložiti
odlučim,odlučiti
odlučujem,odlučivati
odlutam,odlutati
odljepljujem,odljepljivati
odmaglim,odmagliti
odmahnem,odmahnuti
odmahujem,odmahivati
odmaknem,odmaći
odmaknem,odmaknuti
odmamim,odmamiti
odmaram,odmarati
odmažem,odmagati
odmećem,odmetati
odmetnem,odmetnuti
odmičem,odmicati
odmijenim,odmijeniti
odmjeravam,odmjeravati
odmjerim,odmjeriti
odmognem,odmoći
odmorim,odmoriti
odmotam,odmotati
odmotavam,odmotavati
odmrsim,odmrsiti
odmrsujem,odmrsivati
odmrzavam,odmrzavati
odnarodim,odnaroditi
odnesem,odnijeti
odnosim,odnositi
odnjegujem,odnjegovati
odobravam,odobravati
odobrim,odobriti
odobrovoljim,odobrovoljiti
odolijevam,odolijevati
odolim,odoljeti
odomaćim,odomaćiti
odradim,odraditi
odrađujem,odrađivati
odrapim,odrapiti
odrastam,odrastati
odrastem,odrasti
odrazim,odraziti
odražavam,odražavati
odrečem,odreći
odredim,odrediti
određujem,određivati
odreknem,odreći
odrem,odrati
odrežem,odrezati
odričem,odricati
odrijemam,odrijemati
odriješim,odriješiti
odrodim,odroditi
odronim,odroniti
odrpam,odrpati
odrubim,odrubiti
održavam,održavati
održim,održati
odsanjam,odsanjati
odselim,odseliti
odsijecam,odsijecati
odsiječem,odsjeći
odsjedim,odsjediti
odsjednem,odsjesti
odskakujem,odskakivati
odskočim,odskočiti
odslikam,odslikati
odslužim,odslužiti
odspavam,odspavati
odspojim,odspojiti
odstojim,odstajati
odstranim,odstraniti
odstranjujem,odstranjivati
odstupam,odstupati
odstupim,odstupiti
odsviram,odsvirati
odšarafim,odšarafiti
odšetam,odšetati
odšijem,odšiti
odštetim,odštetiti
odšuljam,odšuljati
odudaram,odudarati
odugovlačim,odugovlačiti
oduhovim,oduhoviti
oduljim,oduljiti
oduljujem,oduljivati
